stage,periderm,vascular_smooth_muscle,vasculature
 24-34,1.65,0,0
 72-82,1.46,0,0
 84-94,0,5.14,0
 96-106,0,0,4.85
108-118,1.13,0,1.41
120,0,2.41,4.86
