stage,epidermis,eye,fin_epithelia,glial,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.9,0,0.88,0,0,0,0
 24-34,0,0,0,0,0,0,0.73,0,5.65,1.09,0,0,0,0,0
 36-46,0,0,0,0,0,0.61,1.04,1.77,9.47,0,0,1,0,0,0.67
 48-58,0,2.52,0,0,0,0,2.37,0.61,16.52,1.65,0,2.44,0,0,0
 60-70,0,1.98,0,0,0,0,0,0,24.96,0,0,1.74,0,0,4.39
 72-82,0,0,0,0.59,0,0,0,0,12.54,0,0,8.82,0,0,0
 84-94,0,3.45,0.78,0,0,1.11,2.03,0,23.3,0,0,0,0,0.94,0
 96-106,0,4.66,0,0,0,0,2.15,0.64,14.19,2.39,0,0,0,0,0
108-118,2.22,0,0,0,0.89,0,1.36,0,17.76,0,0,1.01,1.83,0,0
120,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0
