stage,blastomeres,epidermis,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,taste
  3-4,77.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,26.15,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
 24-34,0,0,0,0,3.85,0,0,3.33,0,0,2.53,0,8.89,0,4.34,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.64,0,8.69,0,5.23,0
 48-58,0,0,0.5,0,0,6.95,0,0,0,1.43,1.87,0,3.62,0,0,0
 60-70,0,0,0,0,0,0,0,0,10.83,0,1.84,0,5.58,0,4.05,0
 72-82,0,0,0,0,0,0,0,4.22,0,0,7.48,0,19.92,0.49,1.72,0
 84-94,0,0,0,0.9,0,0.65,0,4.39,0,0,0,0,10.48,0,4.46,0
 96-106,0,0.57,0,0,0,0,0,4.67,1.38,1.62,0,0,14.25,0,2.06,0
108-118,0,0,0,0.78,0,0.48,0.54,1.69,0.97,0,2.07,0,15.19,0,6.18,0.87
120,0,0,0,0,0,0,0,9.86,0,0,9.87,0,5.39,0,0,1.99
