stage,endoderm,epidermis,eye,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.05,0,0.92,0,0,1.3,0,1.19,0,0,0
 24-34,0,0.74,0,0,1.11,0,0,0,0,0,1.19,1.27,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,10.54,0,0,0,0,0.63,10.78,0,1.17,0,0,0,0,0,0,0
 48-58,0,0.53,0,0,11.71,0,0,0.46,0,0,8.1,0,0,0,0,0,3.11,0,0,1.67
 60-70,0,0,0,0,85.14,0,6.94,2.79,0,0,16.34,0,0,0,0,2.91,8.62,0,0,7.64
 72-82,0,0,4.32,0.94,186.13,0,0.5,13.43,0,0,18.51,0,0,0,0,0,4.84,0,1.58,1.98
 84-94,1.04,0,6.74,0,197.98,0,0.71,7.9,9.01,0,15.65,0,1.16,0,0,0,21.54,0,0,0
 96-106,0,1.57,29.92,0,413.03,0,1.1,23.95,18.48,0,31.31,0,3.33,0.57,0,0,1.53,2.88,0.56,2.42
108-118,0,0,0.94,0.59,373.37,2.7,1.61,21.45,8.12,1.07,12.64,0,1.4,0,0,0,1.31,1.37,0,12.52
120,0,5.51,19.23,0,465,0,6.26,6.88,0,0,27.44,0,0,1.8,0,0,8.4,8,6.74,23.2
