stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.2,0,0,0,0,0,0,7.32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,86.54,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.72,0,15.55,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.02,26.35,0,0,19.4,0,0,8.56,0,0,3.51,0,0,0,0
 14-21,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0.85,2.15,0,0,0,7.3,0,0,0,8.7,1.06,0,1.05,0.82,7.28,1.06,1.14,18.2,24.57,5.7,0,0,0,0
 24-34,0,0,0,0,0,0.92,0,0.71,4.21,0,0,0,0,0,0,0,0,0,2.54,0,0,8.11,20,1.29,0.96,1.31,0,4.17,0,1.97,10.05,11.2,0.64,0,3.73,0,0
 36-46,0,0,0,0,0.68,0,0,2.92,9.17,0,0,0.77,0,0,2.5,0.61,0,0,6.1,0,0,2.82,16.04,0,0.72,0,0,1.16,0,0,10.54,1.09,0.87,0,1.81,0,0.78
 48-58,0,0,0,0,0,0,0,8.87,12.79,0,0,2.43,0,0,0.44,0,2.3,0,8.65,0,0,10.55,27.37,2.19,2.27,4.76,0,0.87,0,2.74,9.06,0,5.58,0,0.49,0,0
 60-70,0,0,0,0,0,0,0,6.65,3.15,0,1.03,0,0,0,0.61,0,1.12,0,7.14,0,0,1.44,17.29,0,1.19,3.09,0,0,0,0,6.14,0,0.98,0,0.58,0,0
 72-82,0,0,0,0,0,0,0,2.48,2.13,0,6.07,4.72,0,0,0.75,0,0.79,0,9.92,0,0,6.14,21.27,0,0.74,2.64,0,3.23,0,0,3.15,0,0,0,1.63,0,0
 84-94,0,0,0.7,0,0,0,1.17,12.04,0.72,0.6,0,2.02,0,0,0,0,0,0,7.38,0,0,4.78,4.88,0.67,0,4.48,0,0,0,1.79,0,0,9.43,0,0,0,0
 96-106,0,0,0,0,0,0,0,4.16,4.02,0,0,2.1,1.11,0,0,0,0.58,0,15.24,0.78,0,0,0,0,2.22,1.89,0,0,0,0,0.84,0,0,0,0,0.64,9.09
108-118,0,0,0,0,0,0,0,3.31,8.53,0,0,2.4,0,0,5.07,0.78,0,1.5,0,0,0.5,4.87,21.35,0,1.95,0.52,0,0,0,0,1.05,0,0,1.81,0,0,0.51
120,0,0,0,0,0,3.26,0,0,7.15,0,0,2.4,0,0,0,0,0,1.06,0,0,0,4.05,12.97,0,0,2.63,0,0,1.12,0,0,0,0,0,0,0,0
