stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9.38,0,0.81,0,0,6.15,0,0,0,1.01,0,1.26,0,0,0,0,0,0,0,0,0,0,128.8,0,0.98,0,0,1.97,0,0,175.13,0,0,0,0,1.25
 24-34,0,9.4,3.65,1.94,0.81,0,47.39,0,0,0,9.27,0,19.14,0,0,0,0,0,0,0.73,0,0,1.17,765.48,0,30.45,0,0,2.18,0.98,0,448.26,0,0,0.64,0,6.28
 36-46,0,3.31,0,1.07,0,0,70.49,0,0,0,0,0,5.31,0,0,0,0,0,0,1.29,0,0,3.61,1470,0.62,52.25,0,0,0.77,0,0,590.76,0,0,0,0,1.61
 48-58,0,2.14,0,1.49,0,0,525.01,0,0.42,0,19.73,0,8.92,0,0,0,0,1.39,0,9.27,0,2.14,2.76,1618,0,26.16,1.22,0,2.56,0.73,0,500.34,0,0,0.44,0,6.36
 60-70,0,1.46,0,3.13,0,0,4806.07,0,1.58,0,45.85,1.93,0,0,0,0,0.69,0,0,13.81,1.83,0.99,0.84,2267.83,4.27,32.51,1.82,0,3.08,0,0,402.1,0,0,7.82,0,10.56
 72-82,0,2.23,0,34.31,2.57,0,11436.59,0,0.68,6.66,147.35,1.98,4.02,1.07,0.54,13.07,0.91,3.53,3.9,91.61,1.09,5.14,2.2,2684.37,0,39.36,3.36,3.58,7.84,0.73,0,233.67,0,0.78,12.31,0,29.51
 84-94,0,8.9,0,24.08,15.08,2.35,7569.98,1.12,0,2.41,122.4,0,4.67,0,1.44,1.32,0,0,0,61.03,0,2.19,1.11,1817.86,4.96,19.85,0.67,0,13.01,0,0,113.25,0.9,4.72,9.96,1.34,1.5
 96-106,0,1.51,0,54.24,23.32,0,8331.41,3.83,1.23,0,101.08,0,4.66,12.59,0.77,0,0,6.57,0.98,46.86,6.68,2.81,0,1372.14,1.51,49.05,2.85,0,8.68,1.37,0.9,47.37,8.61,0.77,20.36,0.96,19.63
108-118,3.02,0.54,0.59,27.56,2.08,0,6962.4,0,0,0,83.25,0.43,6.8,5.16,0,0,0.61,1.91,0,67.51,0,5.94,0.93,2329.19,0.54,39.15,7.23,0,8.2,0,0,70.45,3.42,1.53,5.25,0,0
120,0,1.73,0,37.58,0,0,5515.4,0,2.66,0,73.83,0,5.69,24.66,0,0,1.88,19.69,0,64.41,0,0,1.66,2489.6,0,26.78,0,0,10.79,0,0,38.87,0,0,0,0,0
