stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.96,503.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,361.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.49,32.58,0,29.34,0,0,68.85,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0,548.09,28.8,0,0,151.16,0,0,8.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.59,0,78.93,0,0,84.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016.27,40.05,0,0,322.62,0,5.07,5.33,0,55.06,0,14.3,0,0,0,0,0,0
 14-21,0,0,0,2.75,32.74,9.85,10.71,0,0,0,5.31,3.14,0,2.07,0,0,0,0,0,0,11.51,0,0,24.25,225.89,2.15,2.15,2.74,4.02,0,0,2.28,20.05,6.68,5.74,14.54,104.88,0,0,2.84,0,0
 24-34,0,0,0,3.31,13.09,2.98,53.89,0,0.73,1.36,30.85,2.33,0,1.47,0.87,2.52,0,3.9,1.85,0,61.56,0.95,0,31.84,1113.2,2.91,15.21,5.36,0,1.14,24.82,0,0,1.24,0,5.15,211.9,0,0,28.76,0,0
 36-46,0,0,0,0,10.43,0,240.18,0,2.68,2.87,51.81,0,0,1.14,0,0,0,4.05,0,0,123.13,0.79,9.72,24.56,2008.98,2,30.89,10.72,0,0,9.18,0,0,2.8,1.48,0,399.74,0,0,26.99,0.78,0
 48-58,0,0,0,0,14.11,0.46,513.77,0.76,1.4,4.93,107.01,1.98,0,2.05,4.03,5.41,1.9,0.38,0,6.91,157.17,0,2.8,18.21,2132.62,3.58,13.96,3.84,0,0.56,11.78,0,0,1.19,0.73,0,404.23,0,0,31.02,0,16.15
 60-70,0,0,0,0,4.61,0,752.42,0,5.99,2.34,100.56,2.56,0,0.88,0,0,0.61,2.8,0,7.51,185.7,0.65,0.59,12.13,1956.39,0,16.2,5.62,0,0,7.09,0,0,1.06,0,0,328.38,0,1.61,13.5,0.73,2.69
 72-82,0,0,0.56,0,12.18,1.26,513.57,0,0,4.67,81.46,4.05,0,1.9,3.95,0,4.49,1.57,0,0,192.66,0,4.3,22.03,1237.75,0.52,6.3,11.73,0,3.54,4.06,0,0,2.11,0,0,177.6,0.53,7.36,25.99,8.48,0
 84-94,0,0,1.39,0,10.57,0,390.56,0,5.74,4.9,62.49,1.9,0,4.51,0.83,0.56,0,1.87,4.45,0.67,122.12,0,7.9,2.89,712.88,0,20.77,15.57,0,1.01,34.62,0,0,6.75,0.63,0,134.48,0.61,6.38,13.94,3.02,5.35
 96-106,0,0,1.37,0,23.07,19.33,415.33,0,4.41,1.24,95.39,7.28,0,0.96,2.85,2.39,0.75,10,0,0,126.86,1.89,4.98,5.75,614.2,2.88,22.22,10.71,0,0,14.65,0,0,2.31,0,0,50.34,0,2.25,20.46,2.53,11.07
108-118,0,0,0,0,20.45,7.11,268.54,0.98,1.99,1.28,68.41,4.6,0,0,3.11,0.64,4.67,10.65,2.43,2.8,111.05,1.92,1,10.81,720.95,2,11.26,27.55,0,7.68,7.74,0,0,2.42,0,0,25.52,0.5,5.54,13.58,5.1,6.51
120,0,0,0,0,31.72,25.19,201.41,0,9.68,2.12,51.02,2.36,0,0,3,1.65,0,1.77,4.74,0,107.43,0,0,7,1031.03,0,6.75,11.98,0,0,6.93,0,0,5.62,0,0,40.43,0,0,8.8,7.84,4.83
