stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.88,0,0,0,0,0,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.45,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,96.9,0,158.64,0,4.44,0,493.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982.11,8.87,0,0,146.2,0,0,0,29.66,0,3.11,0,0,0,0,0
 14-21,0,2.13,135.03,852.7,141.74,0,294.02,0,0,0,102.83,22.19,0,7.39,0,3.35,2.02,3.45,0,21.58,238.64,0.92,0,74.56,8474.38,8.65,1.21,106.15,15.39,341.68,1.58,23.28,77,1.91,23.25,2118.21,0,25.34,0,0.84
 24-34,0,1.46,45.84,196.16,13.06,0,87.38,0,0.92,0,146.99,2.34,0,1.58,0,0.85,2.16,6.1,13.93,10.68,287.9,3.42,0,45,5129.47,0,3.47,18.99,0,890.82,0,1.03,149.38,0,5.15,2032.87,0,88.38,0,0.69
 36-46,0,0,4.52,32.92,2.96,0,98.54,0,3.81,0,66.07,4.78,0,2.25,0,4.15,3.46,1.4,15.39,0,63.26,2.74,0,25.13,1556.07,0.55,2.25,2.1,0,866.99,0,1.63,82.26,0,0,1180.74,0,43.09,0,6.49
 48-58,0,0,0,11.24,0.39,0,138.1,0,7.11,2.19,65.64,10.88,1.19,0.87,0,0,0,0.37,5.88,0,22.21,1.11,0.56,8.51,618.53,4.26,1.63,2.32,4.77,252.13,0,0,65.95,0,0,340.59,0,5.83,0,2.31
 60-70,0,0,0,2.8,0,0,113.57,0,11.36,1.6,42.6,7.59,0,0,5.15,0,14.68,0,7.61,0,17.52,0,0,2.26,586.46,0,1.78,4.35,0,210.68,0,5.3,35.54,0,0,85.25,0,15.04,0,0
 72-82,0,0,0,5.78,19.81,1.59,114.04,0,0.58,1.73,52.89,2.67,0,0,0,0,5.29,0,6.28,0,19.01,1.77,0,8.83,670.61,0,1.08,1.42,0,148.3,0,0,19.32,0,0,15.86,0.76,2.85,0,2.09
 84-94,0,0,0,4.37,6.63,3.34,76.26,2.21,2.49,2.21,22.86,2.18,0,0,1.24,0,0.96,0.59,15.3,0,12.28,1.71,1.04,3.46,496.14,0,1.17,0.63,0,399.5,0,0,25.09,0,0,22.35,1.91,1.24,0.75,0
 96-106,0,0,0,11.92,25.31,1.14,90.57,0,5.07,1.44,34.24,4.52,0,0,1.64,0.74,4.11,0,2.41,0,25.62,1.87,0,5.93,549.25,0,0,3.12,0,373.76,0,0,9.57,0,0,2.99,0,1.81,0,0
108-118,0,0,0.74,11.87,4.52,0.47,55.37,0,5.93,0.45,63.09,3.14,0,0,0,3.44,1.24,0.67,13.07,0,25.42,2.64,0.69,5.13,564.23,0,0,0,0,416.48,0,0,2.82,0,0,5.42,0.6,0,0.72,3.47
120,0,0,0,28.4,0,0,94.08,0,3.97,0,18.27,0,0,0,0,1.8,0,0,1.02,0,27.92,2.21,0,0,903.51,0,0,0,0,167.92,0,0,2.21,0,0,7.41,0,2.64,0,0
