stage,epidermis,eye,fast_muscle,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,neural,periderm,pronephros,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,4.63,0,0
 14-21,1.03,0,0,0,0,0,0,0,0.86,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.28,0,0,4.72,0
 36-46,0,3.09,0,0,0,0,0,0,1.98,0,0,0.63,5.34
 48-58,1.27,3.89,0,0,0,0,0,0.85,12.02,0,0,3.54,0
 60-70,0,14.92,0,0,1.01,0,0,3.96,4.03,0,0,0,0
 72-82,0,2.52,0,0,0.84,0,0,4.59,7.08,0,0,0,0
 84-94,0,0,0,0,0,0,1.19,0,0,11.2,0,0,0
108-118,0,0,0.98,1.01,0,0,0,1.51,5.44,0,0,0,0
120,0,0,0,0,5.01,7.01,0,0,19.04,0,0,0,0
