stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,0,0,0,4.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.94,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,11.27,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,2.35,0,0,0,185.93,0,0,0,0,0,0,23.55,0,0,0,0
 36-46,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,466.85,0,6.71,1.22,0,0,0,38.05,0,0,0,2
 48-58,0,0.8,1.64,0.48,43.31,0,0,0,4.21,0,0,0,0,0,0.44,18.77,2.85,0,0,0.59,990.45,4.4,2.5,0.43,0,0,0,35.19,0,0,0,0
 60-70,0,0,2.51,0,305.22,0,0,0,5.83,0,0,0,0,0,0,13.51,2.83,0,0,0,2154.29,0,0,0.72,0,0,0,79.09,0,3.17,0,0
 72-82,0,0,7.06,0.73,570.97,0,0,0,28.86,0,0,0,0,3.11,0,2.64,20.02,0.73,0,1.07,3011.24,0,5.42,0.49,0,3.58,0,144.28,0,0,0,0
 84-94,0,0,11.95,0.65,532.31,0,1.35,0,29.64,0,0,0,2.34,0.67,0,0,6.97,0,0.85,11.53,1686.65,0,1.17,0.88,0,0,0,76.6,2.13,0.57,0,3.39
 96-106,0,0,4.6,10.73,508.73,0,0,0,16.75,0,1.23,1.28,0,0,0,0,18.42,0,0,0,2039.8,0,4.63,0,0,4.97,0,85.05,0.62,5.65,0,1.41
108-118,0,0,6.51,2.63,618.65,0.56,0,0.65,23.2,0,0,0,0,0,0,0,28.52,1.15,0,2.89,2046.2,0,1.39,0,0,10.36,0.84,55.18,0,0,1.54,0
120,0,0,1.95,0,351.09,0,0,0,39.54,1.09,0,0,0,0,0,0,5.47,0,0,2.57,2483.12,4.5,0,13.55,0,1.18,0,67.94,0,0,0,0
