stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,132.97,2576.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,0,0,0,0,0,0
  5-6,157.56,1603.16,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.67,11.17,0,0,21.45,45.85,0,0,0,0,0,0,0,0,0
  7-9,19.97,5.33,0,17.83,0,0,0,4.04,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0,214.46,8.74,0,0,82.47,0,24.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.29,0,0,0,0,0,0,0,0,0,57.73,0,0,0,0,0,0,0,0,0,0,0,79.55,0,0,0,26.81,15.56,13.83,0,0,0,0,0,0,0,0
 14-21,0,0,4.83,3.79,87.31,0,0,0,0,6.16,0,0,4.43,92.76,0,0,10.25,0,0.93,0,0,0,2.39,0,0,23.85,1.96,1.37,6.17,12.54,241.34,8.38,3.68,3.47,2.76,9.84,0,0,0,0
 24-34,0,0,5.78,3.88,51.23,1.33,0,5.52,0,8.79,0.71,0,2.78,8.76,0,0,31.43,0,6.64,3.2,0,8.08,28.11,0,3.13,192.77,2.56,40.18,16.13,0,437.92,0,0,28.25,0.62,20.34,0,0,3.85,0
 36-46,0,0,2.02,0,14.42,0,0,12.09,0,4,0,2.39,1.93,2.1,0,0.57,18.1,0,10.32,8.13,0,4.48,50.51,0,1.1,288.33,0.82,70.93,5.15,0,675.05,6.9,0,6.84,0,29.08,0,0,6.41,0
 48-58,0,0,1.43,0,13.66,0,0,7.41,0,7.12,1.42,3.31,3.76,30.58,0,0,3.71,0,6,7.52,0,8.22,43.96,0,1.73,128.26,0.45,29.72,21.75,0,394.33,0.84,0,3.44,0,4.86,0,0,0,2.66
 60-70,0,0,1.81,0,27.88,0.6,0,33.77,0,11.41,1.79,4.41,8.64,15.99,0,0,5.33,0,16.04,9.85,0,3.66,31.83,0,0.77,67.13,0.75,29.15,12.33,0,239.16,0,0,4.12,0,6.43,2.05,0,0.73,0
 72-82,0,0,11.85,0.51,19.85,0,6.53,41.95,0,2.7,0,11.34,53.69,4.94,0,5.65,7.52,4.93,45.05,1.21,1.81,16.1,70.91,2.15,0,121.14,0,75.54,24.12,0,153.2,0,0,3.41,0,4.16,10.14,0,0.96,0
 84-94,0,0,18.44,2.38,48.47,8.04,15.28,69.08,0,7.37,3.28,26.87,123.55,16.51,0,0.59,28.8,0,47.84,16.02,5.72,22.89,90.89,3.04,0.79,98.8,1.45,59.13,37.96,0,666.02,1.4,0,6.72,0,0,51.35,0.92,3.59,0
 96-106,0,0,11.4,0.72,87.45,2.96,25.08,70.82,0,6.35,0.93,52.76,177.28,2.12,0,3.56,29.09,0,98.77,16.29,0,40.09,97.02,0,1.51,133.99,3.16,122.37,53.95,0,476.77,0,0,6.05,0,6.61,68.87,3.79,5.02,6.58
108-118,0,0,12.75,5.77,140.53,11.02,41.8,88.06,0.47,8.98,0.66,57.58,207.34,0,2.89,2.81,56.24,0,59.01,28.58,0,28.97,86.63,0,4.83,197.88,0.42,93.3,48.37,0,354.21,2.32,0,4.24,0,0,84.74,0,6.51,0
120,0,0,8.13,0,103,0,12.03,58.74,0,5.65,0,51.08,145.77,0,0,4.66,32.92,7.17,38.99,4.15,0,3.93,35.39,11,0,151.48,0,52.67,46.9,0,262.35,2.5,0,11.83,0,2.14,27.44,1.95,0,0
