stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,205.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.36,0,0,0,0,0,0,0,0,0
  5-6,8.77,415.59,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,69.49,0,0,0,0,0,0,0,0,0
  7-9,0,22.45,12.21,0,0,0,13.88,0,0,0,0,0,0,0,0,0,0,316.05,17.44,0,0,137.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,26.14,0,0,0,23.11,0,0,0,0,0,0,0,0,0,0,128.49,19.31,0,0,27.22,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.17,0.88,0,1.78,0,1.25,0,0,0,0,0,0.89,0,1.79,13.24,0,0,0,0,2.42,0.9,3.15,0,0,5,0,0,0,0
 24-34,0,0,2.37,1.01,0,0,2.38,0,0.65,0,8.51,13.05,0,0,4.76,0,1.77,60.67,0.86,1.56,0.68,0,1.02,0,0,0,0.71,19.58,0,0,4.08,0
 36-46,0,0,0,0,0,0,12.39,1.23,2.9,0,27.92,1.28,0,0.89,3.85,0,2.09,124.36,0,4.59,0.58,0,0,0,0,0,0,16.9,0,0,0,0
 48-58,0,0,0,0.44,0.42,0,13.67,0,6.66,0,22.74,10.84,0,0,3.38,0,0,96.62,0,1.96,0,0,3.49,0,0,0,0,15.74,0,0,1.94,0
 60-70,0,0,0,0,0,0,17.24,0,3.8,0.72,31.42,1.32,0,0,3.56,5.24,1.78,43.82,0,0.81,0.76,0,0,0,0,0,0,1.58,0,0,2.17,0
 72-82,0,0,0,5.97,5.36,0,20.02,0.75,4.97,0,86.53,1.68,0,0,6.24,0,0,28.8,0,2.4,0,0,0,0,0,0,0,4.43,0,0.76,8.88,1.64
 84-94,0,0,0,15.03,5.36,0,12.88,0,2.07,0,67.3,2.68,0,0,0.57,0,0,15.66,1.16,8.9,0,0,2.08,0,0,0,0,0,0,0,5.7,0.63
 96-106,0,0,0,14.7,4.24,0,5.08,0,0,0,122.37,3.31,0,0.63,1.56,0,0,22.4,0,19.48,0,0,4.23,0,0,0,0,0,0,0,13.48,0
108-118,0,0,0,27.26,8.2,0.72,14.56,1.38,0,0,143.28,5.77,0,0,5.14,1.8,0,16.34,0,7.22,0,0,0.47,0,0,0.83,0,0,0.45,0,8.09,0
120,0,0,0,22.36,4.98,0,20.85,0,0,14.34,195.94,6.33,4.74,0,0,10.62,0,29.29,0,4.96,0,0,0,0,0,0,0,0,0,0,11.87,0
