stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.39,434.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0
  5-6,0,285.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.3,26.21,0,0,0,0,0,67.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.42,16.27,0,0,109.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,49.9,0,12.48,0,47.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.1,18.92,0,0,141.02,0,5.41,0,17.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,25.21,7.18,0,17.52,0,0,0,6.3,3.05,3.34,0,0,0,0,0,0,7.46,0,0,21.97,210.56,1.97,0,0.95,7.95,0,4.77,31.54,0,0,40.1,46.07,0,0,0,0,0
 24-34,0,0,0,1.85,13.78,2.08,0,33.05,0,0,0,6.01,1.36,3.85,0.75,0,1.64,0,0,0.86,39.33,0,0,9.61,325.82,7.67,2.15,5.53,0,0,13.1,0,0.71,0,9.99,57.06,0,0,4.84,0,0
 36-46,0,0,0,0,9.45,0,0,48.78,0,2.62,2.29,11.68,0.57,0,1.26,0,0,0,0,15.36,34.09,0,0,5.77,163.22,10.55,0,0.61,0,0,7.85,0,0,0,0.69,37.19,0,0,8.85,0,0.81
 48-58,0,0,0,0,16.88,0,0,70.22,3.35,0.75,6.67,26.6,0,0,0.47,0,0,0,0,0,45.3,0,2.57,15.58,188.78,7.86,0.44,0.4,0,0,5.22,0,0,0,0,66.72,0,0,2.94,0.5,1.53
 60-70,0,0,0,0,6.04,3.32,0,77.83,0,2.01,1.46,18.48,0,0,0,6.79,0,0,0,0,37.95,0,0.63,2.78,133.96,0,0,2.23,0,0,3.08,0,0.6,0,0,29.28,0,1.77,6.82,0,0
 72-82,0,0,0.93,0,9.34,2.63,0,75.42,0.55,0,2.67,37.15,0.63,0,2.04,5.15,0,0,1.07,0.72,77.31,0,8.49,10.28,146,0.63,0,7.34,0,2.5,13.3,0,0,0,0,20.54,3.65,0.87,7.27,3.26,1.18
 84-94,0,0,0,0,19.4,5.03,0.58,61.59,0,0.55,0,12.94,1.01,0,1.18,13.82,2,4.07,1.23,0,75.6,0,7.06,9.4,81.32,2.13,0,12.66,0,0,17.33,0,0,0,0,13.16,1.92,3.91,3.22,4.31,1.21
 96-106,0,0,1.15,0,11.2,0.59,0,40.92,0,1.21,1.65,40.08,6.51,0,3.21,4.83,0.86,2.59,1.13,1.58,99.66,0,0.92,19.91,79.3,0,2.81,0,0,0,52.45,0,0,0,0,7.29,0,1.01,1.86,0,5.25
108-118,0,0,0,1.47,26.18,1.54,3.41,40.31,0,3.55,3.93,39,5.31,0,1.02,9.69,1.92,2.77,0.86,2.1,76.95,0.45,1.06,12.92,140.13,4.4,1.8,8.68,0,0.95,42.66,0,0,1.66,0,27.95,2.84,3.84,4.59,4.65,1.09
120,0,0,0,0,40.64,13.41,0,62.33,7.29,12.26,1.66,93.01,10.08,0,10.3,9.7,0,0,2.7,3.56,131.05,0,0,21,268.47,10.03,0,21.97,19.84,2.67,16.61,0,0,0,0,21.34,0,0,31.42,3.35,2.85
