stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.18,0,0,0,0,0,0,0,0,0,43.32,0,0,0,0,0,0,0,0,0,15.49,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.72,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,19.75,0,0,0,5.49,0,0,0,12.68,0,0,0,0,0,0
 14-21,0,0,0,52.73,0.87,0,0,0,0,3.44,1,2.8,0,0,0,0,0,0.83,0,8.93,30.5,0,0,1.22,0,0,2.37,2.57,0,0,0.81,8.46,38.09,0,0
 24-34,0,0,1.78,14.96,5.33,0,0.92,0,3.12,0,0,8.47,0,10.21,0,1.59,0,1.92,1.47,4.48,89,0,0,29.58,0,0,4.42,0,0,1.9,1.1,84.84,295.53,0,0
 36-46,0,0,0.76,7.52,22.58,0.7,4.2,0,3.69,0,0,6.58,0,3.61,0,0,0,12.77,5.24,12.27,74.77,0,0,15.69,0,0,27.86,0,0,2.58,0,110.75,159.52,0,2.33
 48-58,0,0,0.85,5.2,8.89,0,0,0,3.86,0,0,4,1.34,5.12,0.39,4.5,0,1.01,12.26,13.04,86.1,0,0.6,25.57,0,0,5.61,0,0,0,0,66.7,97.79,0,7.2
 60-70,0,0,7.11,10.02,51.36,0,0,3.88,21.27,0,0,3.46,0,0,3.86,8.9,0,13.74,1.88,4.03,50.7,0,1.48,32.25,0,0,1.94,0,0.85,0,0,65.74,101.47,0,8
 72-82,0,0,3.93,0,92.73,0,0,0,51.72,0.51,0,5.66,0,0,0,19.43,2.93,10.14,2.83,4.08,57.14,0,0,43.46,0,0,2.28,0,1.77,0,0,52.41,97.54,0,6.13
 84-94,0,0,1.19,0,112.75,0,0,0,63.62,1.62,0,3.25,0,0.61,1.29,13.26,0,6.09,6.97,1.66,63.98,0,0,44.13,0,0,0,0,0,0,0,39.41,134.89,0,0
 96-106,0,0,1.66,8.55,145.41,0.86,0,0,50.81,9.98,0,7.04,0.58,0,5.31,32.56,0,5.89,7.85,5.94,33.2,0,0,66.12,0,0,2.81,0,0.61,0,0,0,157.96,0.65,0
108-118,0,0,5.87,10.8,106.13,0,0,0,57.95,12.54,0,0.43,0,2.93,3.61,14.93,0,4.96,2.09,2.89,71.49,0,0,71.54,0,2.15,0,0,0,0,0,10.09,128.27,1.05,0
120,0,0,3.22,8.88,112.16,1.26,0,0,89.93,6.13,5.2,5.02,3.47,1.02,4.78,37.27,0,2.63,0,0,10.08,0,0,62.8,0,0,0,0,0,0,0,11.5,77.14,0,0
