stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.32,0,0,0,1.76,0,0,0,0,0,4.15,0,0,9.58,3.85,10.86,0,0,0,0,0,1.07,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.38,0,0,0,0,1.97,0,53.56,0,0,58.37,7.18,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0
 36-46,0,0,0,0,0.93,0,0,3.44,0,0,0,0,2.36,0,171.55,0,0,139.37,6.62,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0
 48-58,0,0,0,0,3.67,0,0,13.21,0,0,1.21,0,0.5,0,304.44,0,0,120.22,24.79,0,0.8,0,0,0,3.07,0,0,1.48,0,0,0,0,0
 60-70,0,0,0,0,4.47,1.01,0,3.46,5.55,0,0,0,3.02,0,465.73,1.27,2.26,47.85,26.89,0,0,1.52,0,0,0,0,0,0,0,2.2,4.95,0,0
 72-82,0,0,2.12,0,35.24,1.31,0,0.62,2.86,3.41,0,2.17,4.06,0,1081.48,0,9.18,105.37,46.55,0,0.54,4.43,0,5.35,0,0,0,1.74,0,2.14,0,5.19,0
 84-94,0,1.04,0,0,29.62,0,0.82,2.21,0,0,0,3.16,1.39,1.81,772.82,0,7.97,48.49,0,0,0,4.06,0,0,0,0,0,2.42,0,0.68,0,8.48,0
 96-106,0,0,0,0,22.13,0,3.15,2.29,9.8,0.76,0,0,2.63,0,878.07,0,3.63,43.9,36.02,0,0.72,1.05,0,2.79,2.46,0,2.34,0,0,13.64,0.65,3.33,0
108-118,0,0,0,0,16.39,0,2.88,0.43,0.98,1.35,1.35,1.33,4.01,0,1202.26,0,1.28,38.92,83.17,0,0,0,0,8.28,0,0,0,0,0,6.47,0,2.78,1.93
120,0,0,5.25,2.76,16.86,0,0,1.67,7.14,3.65,2.14,2.56,0,0,799.27,0,4.59,59.1,27.6,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0
