stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,257.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.49,276.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,29.62,0,0,0,23.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,100.89,0,0,0,30.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,1.07,3.35,7.67,5.45,0,0,1.64,0,0,0,0,0,0,0,0,16.15,0,9.95,181.84,0,0,0.94,0.83,0,0.87,8.39,0,2.34,3.72,89.13,0,0,0,0
 24-34,0,0,3.06,0,0.71,0,16.24,0,0,2.84,0,0,0,0,0.72,0,3.42,0,23.02,0,20.31,564.87,0,0,3.89,0,0,1.31,0,0,0,2.65,297.48,0,0,0,9.94
 36-46,0,0,0.95,0,0,0,50.19,0,0,6.96,0,0,0,0,0,0.66,0.89,0,14.03,1.14,3.34,1136.74,0,1.96,0,0,0,3.7,0,0,0,0,451.8,0,0,0,0
 48-58,0,0,0,0,1.26,0,100.29,0,6.48,15.44,0,0,0.55,0,0,0,0,0.54,16.11,0,1.03,744.66,0.78,0,1.14,0,0,0,0,0,0,0,466.51,0,5.09,0,5.12
 60-70,0,0,0.89,0,0.57,0,133.45,0,0,5.54,0,0,0,0,0,0,0,0,47.81,6.12,8.97,432.33,1.57,0,0,0,0,2.63,0,0,0,0,344,0.8,0,0,2.86
 72-82,0,0,0,0,2.41,1.26,128.82,0,7.83,3.9,0,0,0,0,0,0,0,0,37.42,2.2,8.97,320.82,0,0,1.06,0,0,0,0,0,0,0,158.59,1.93,0,0,6
 84-94,0,0,0.7,0,1.85,0,69.38,0,1.3,13.79,0,0,0,0,0,0,1.59,0,50.87,6.75,2.87,213.77,0,0.7,0.82,0,0,0,0,0,0,0,139.55,1.48,0,0,0
 96-106,0,0,0,0,9.24,1.26,70.5,0,1.31,8.31,2.7,0,0,1.56,0.68,0,0,0,96.31,4.26,5.85,225.17,0,0,0.79,0,0.83,0,0,0,0,0,24.26,2.02,0,0,0
108-118,0,0,0.57,0,5.51,5.57,62.12,0.45,0,14.26,0.74,0,0,0.74,0,0,4.08,0.6,42.66,2.1,14.9,338.04,0,0,0,0,0,0.94,0,0.64,0,0,53.3,0,0,0.63,0
120,0,0,0,0,1.31,0,111.24,0,0,20.72,2.96,0,0,3.36,0,0,0,0,37.38,0,16.81,503.43,0,0,0,0,0,1.04,0,0,0,0,59.69,0,0,0,0
