stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,37.87,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.49,0,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,77.71,0,0,12.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,47.68,0,0,0,3.29,0,0,0,0,0,0
 14-21,0,0,0,0,1.68,0.97,0,0,0,0,20.86,0,0,0,0,0,0,0,0,0.98,0,0,0,28.7,9.97,0,0,0,0,0.85,1.87,1.31,44.6,0,0,1.25,0
 24-34,0,0,0,0.59,1.8,0,0,3.27,0,0,32.25,0,0,0,1.95,0,0,4.22,0,2.26,0,0,2.79,89.78,48.65,13.8,0,0,0,0,16.42,0.82,62.63,0,0,0,0
 36-46,0,0,0,0,13.19,0,0,11.14,0,0.65,18.66,0,0,0.89,0,0,0,2.08,0,1.53,0,0,0,79.99,35.92,6.59,0,0,7.69,0,16.42,0,63.38,0,0,0,0
 48-58,0,0,0,0,0,0,0,43.64,0,0,35.76,0,2.79,0,0,0,0,2.09,0,3.18,0,0,6.05,123.77,36.58,15.95,0,0,0,0,14.28,0,55.19,0,0,0.89,0
 60-70,0,0,0,0,13.21,0,0,149.14,0,0.84,34.41,0,0,0,0,0,0,0.88,0,2.57,1.53,0.75,0,143.62,43.07,11.34,0,0,0,0,1.54,0,35.75,0,0,1.59,0.87
 72-82,0,0,1.47,0,0.64,0,0,60.8,0,0,45.47,5.19,0,0,0,0.65,0.78,11.41,0,11.12,0,0,1.94,76.44,68.58,6.2,0,0,6.77,0,1.76,0,29.9,0,0,0.63,2.45
 84-94,0,0,8.98,1.01,3.76,0,0,129.07,0.56,0,40.81,1.12,0,0,0,0,0,3.11,0,9.1,0,0,0,65.72,52.62,13.94,0,0,0,0,2.88,0,21.59,0,0,0.71,0
 96-106,0,0,1.11,0,0,1.73,2.28,36.06,0,0,31.1,5.86,0,0,0.64,0,0,5.27,0,11.06,0,1.37,0.58,82.5,102.28,11.45,0,0,0,0,2.06,0,8.68,0.64,0,3.64,0
108-118,0,0,2.63,1.18,18.34,1.68,0.78,66.15,0,0,66.69,0.73,0,0,0.49,0,0,3.97,0,19.51,0,0,2.3,172.42,92.37,19.07,0,2.86,0.78,0,4.04,0,19.87,1.73,1.88,0,2.12
120,0,0,3.01,6.35,1.05,0,0,33.64,0,0,35.66,17.49,0,0,0,0,0,3.78,7.32,24.09,0,0,7.86,286.36,94.06,36.98,0,0,1.1,0,4.65,0,18.83,0,1.52,0,0
