stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.63,0,0,0,6.98,0,0,0,0,0,0,0,0
 14-21,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,12.64,0,0,0,0,0
 24-34,0.61,0,0,0,0,0,0,0,0,0,0,0,4.55,0,5.67,154.62,0,0,0.61,0,0,0,28.07,0,0,1.86,0,0
 36-46,0.73,0,0,25.23,0,0,4.26,0,0,0,0,0.58,1.87,0.92,0.56,478.51,2.62,1.3,0,0,0,0,45.41,0,0,0,0,0
 48-58,0,4.05,0,181.99,0,0,10.6,0,0,0,0,0,1.93,2.34,1.14,679.75,0,0.47,0,0,5.62,0,67.15,0,0,0,0,6.31
 60-70,0,0.81,0,844.47,0,0,13.06,0,0,1.16,1.98,0,1.19,0,0,864.98,0,0,0.59,0,0,0,82.91,0,4.5,0,0,0
 72-82,1.01,8.87,3.68,582.01,0,4.8,7.8,0,0,0,0,0,12.61,0,1.96,714.9,0,0,5.52,0,0,0,37.68,0,0,0,0,0
 84-94,0,2.96,0,524.8,0.76,0,12.66,0.6,1.29,0,0,0,4.55,0,11.25,510.03,0,2.19,0.59,0,0,0,54.77,0,0,1.69,0.57,0
 96-106,0,0,4.14,351.39,0,0.58,9.11,0,0,0,0,0,0.97,0.62,0,335.03,0,0.67,0.56,0,0,0,0,3.17,0,0,0,0
108-118,0,2.2,0,256.99,0.49,0,1.52,0,5.58,0,0.56,0,8.25,0,0.56,359.44,0,0,0,0,0,1.48,19.67,0,0.47,1.77,0,0
120,0,0,0,156.46,0,0,13.4,0,0,0,0,0,2.22,0,5.39,590.87,0,0,0,0,0,0,12.63,0,0,0,0,0
