stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,173.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,99.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,26.43,0,0,3.22,0,0,0,0,0,0,0,0,111.14,0,0,15.68,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,8.53,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0
 24-34,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,1.16,0,0
 36-46,0,0,0,0,0,44.46,0,0,0,0,0.62,0,0,0,0.79,0,0,5.5,0,0,0,0,0,2.67,2.41,0
 48-58,0,0,0,0,0,314.16,0,0,0,0,0,0,0,0.59,7.08,0,0.4,18.37,0,0,0,0,0,3.05,0,0
 60-70,0,0,1.05,0,0,1727.23,0,10.73,0,0,0,0,0,1.24,15.12,2.91,0,35.65,0,0,0,1.64,0,1.15,0,0
 72-82,0,0,3.58,0,0,1316.97,0,5.67,0,0,0,0,5.32,0,33.13,0,1.19,63.41,0.7,0,0,0,0,1.11,0,1.28
 84-94,0,0,0.73,1.3,0,879.15,2.01,6.63,0,0.93,0,1.94,0,6.54,55.26,2.6,0,40.1,0,1.14,0,0,0,0,2.53,0.57
 96-106,0,0,2.34,0,0,806.72,0,7.33,0,0.81,0,3.74,3.52,1.37,25.22,0,2.33,48.37,1.63,1,0,0.6,0,2.89,0,0
108-118,0,0,9.34,1.32,1.94,635.14,1.3,1.63,0,0,0,0.51,0,2.78,21.21,0,0.57,34.19,0,2.66,0,1.56,0,8.04,0,0
120,0,0,0,0,0,348.68,0,9,0,0,0,0,3.74,0,39.69,0,0,17.98,0,0,0,10.92,0,0,0,0
