stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,148.18,2232.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.18,0,0,0,0,0,0,0,0,0,0
  5-6,375.46,3787.51,0,0,0,0,0,0,0,0,0,0,22.48,0,0,0,0,0,0,0,0,0,0,71.72,62.42,0,0,57.45,105.64,0,0,0,0,0,0,0,0,0,0
  7-9,65.98,121.71,0,97.75,0,0,189.1,0,0,0,0,0,76.29,0,0,0,0,0,0,0,0,0,0,1697.4,54.06,0,0,570.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,60.32,0,42.82,0,16.19,56.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977.02,61.94,0,0,369.26,0,0,54.59,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0.81,22.11,2.26,7.18,0,0,0,2.09,0,10.06,0,0,0,0,0,0.93,11.28,0,0,5.48,151.99,8.06,0,0,5.11,0,19.71,2.85,0,13,51.19,0,0,0,0,0
 24-34,0,0,0,0,3.76,0,10.17,0,0,0,2.34,0,0,1.82,0,0,0,0.6,0,17.01,0.69,0.81,9.08,146.06,0,0,0.76,0,0.72,0,0.74,0,3.24,31.74,0,0,1.45,0,0
 36-46,0,0,0,0,6.97,0,24.43,0,0,0,10.3,0,0,0,0,0,0,0,0,16.21,0,0,2.37,125.14,0,1.34,0,0,2.73,0,0,0,0,46.44,0,0,2.51,0,0
 48-58,0,0,0,0,1.71,0.45,55.61,0,0,0.47,12.42,0,0,0.64,1.22,0.48,0,0,0,13.08,0,0.73,2.39,118.35,0,0,0,0,0.9,0,0,0,0,17,0,0.37,0.89,0,0
 60-70,0,0,0,0,0,0,39.6,0,0,0,10.56,1.05,0,0,0,0,0,0,0,11.45,0,0,0,78.14,0,0,2.77,0,5.21,0,0,0,0,26.78,0,0,0,0.64,0.79
 72-82,0,0,0,0,1.04,0,35.47,0.59,0,0.5,9.44,1.06,0,0.91,0.69,0,0,0,0,14.01,0,0,1.76,61.93,0,0,0,0,1.09,0,0,0,0,11.3,1.61,0.83,3.92,1.08,8.23
 84-94,0,0,0,0,0.61,0.66,19.92,0,0,0,13.27,0.66,0,0,0.67,0,0.7,0,0.67,19.55,0,3.36,3.76,60.13,0.56,0,0,0,3.09,0,0.73,0.66,0,1.56,0,0,0,1.25,0
 96-106,0,0,0,0,5.06,0,23.08,0,0,0.89,8.86,0,0,0,0,0,0,0,0,11.86,0,0,0.65,26.57,0,0,1.27,0,4.23,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5,0.46,3.93,0,0,0,3.25,0,0,0,0,0,0,0,0,18.34,0,0,1.17,32.92,0,2.1,0,0,5.09,0,0,0,0,0,0,0.5,0,0,0
120,0,0,0,0,1.6,0,1.03,0,1.73,0,12.97,0,0,1.17,2.81,1.29,0,0,0,2.5,0,15.95,5.57,68.03,0,1.99,8.58,0,2.53,0,0,0,0,0,0,0,0,0,7.88
