stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.92,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,4.38,8.28,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,0,0,0,0,0,0
 14-21,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.75,0,0,0,0,0,0,0,6.33,3.34,2.8,0,1.54,0,1.84,0,0
 36-46,0,1.24,0,7.89,0,0,0,0,0,0,0,1.89,0,0.81,0,1.39,0,0,0,0
 48-58,0,0,0,8.51,0.55,0,0,0,0,0,0,0.47,0,7.42,0,0,0,5.9,0,0
 60-70,0,0.76,0,7.82,0,0,0,1.1,0.63,0,0,0,1.31,0,0,2.83,1.45,0,2.13,10.96
 72-82,0,0.72,4.42,0.76,0,0.77,0,0,0,0,0,4.14,0,0,0,2.13,0,0,0,0
 84-94,0,2.62,0.67,0,0,0,0,0,0,0,2.42,0.62,1.73,0,0,0,0,0,0,0
 96-106,0,0.63,1.93,0.58,0,5.23,0,0,0,1.8,0,5.06,0,0,0,0,0,0,0,0
108-118,0,4.65,0,6.76,0,0,0.88,0,0,0,0,6.02,0.99,0,0,0,0,0,0,0
120,0,3.28,0,15.18,0,0,1.26,0,0,0,0,15.2,0,5.11,0,0,0,0,0,0
