stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,151.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.28,143.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.05,3.69,0,0,26.52,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.12,0,15.78,0,4.81,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,420.85,24.98,0,0,53.74,0,6.59,0,0,12.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.89,113.9,5.93,0,0,3.01,0,0,1.48,0,0.81,1.02,1.77,0,0,0,5.77,0,0,1.96,18.04,0.83,6.31,0.89,4.78,0,56.53,0,2.86,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.97,0,48.56,0.69,0,8.4,9.95,0,0,0.85,0,0,24.21,2.04,0,1.46,0,7.12,0,0,2.59,32.82,0,0,0.63,0,0,153.74,0,0,1.46,0,0.76,5.73,0,0,1.77,0,0
 36-46,0,0,0,0,53.39,0,0,2.95,7.41,0,1.4,0,0,1.2,27.99,14.12,0,3.1,0,1.62,0,0,2.93,42.41,0,7.53,2.59,0,0,243.66,0,0,0.88,0,0,3.82,0,0,0.66,0,6.46
 48-58,0,0,0,0,29.75,0,0,21.41,20,1.12,1.73,1.42,0.54,0,14.69,7.36,0,2.12,0,8.27,4.86,0,0.95,70.3,0.71,5.1,0.85,0,0,215.3,0,0,0,0.9,0,5.98,0,0,8.02,0,6.96
 60-70,0,0,0,0,59.82,7.76,0,19.03,13.9,0,17.82,0.72,3.59,0,59.76,7.91,0,0.85,0,12.15,0,0,0.93,58.23,0,4.25,8.53,0,0.71,132.69,0,0,0,0,0,5.16,2.13,3.13,5.2,0,14
 72-82,0,0,5,0,32.15,0,0,7.59,12.9,0.56,1.8,9.5,0,0,17.84,3.34,0,6.6,0,42.01,0,0.74,0,35.19,0,1.01,1.75,0,0,101.31,1.65,0,0,0,0,0,0,2.09,10.72,0,0
 84-94,0.62,0,0,0,48.66,0,1.06,25.28,13.9,0,2.03,12.42,0,0,43.44,3.06,1.65,4.35,0,19.68,7.79,0,0.94,34.6,0,0.67,2.28,0,0,244.76,0,0,0,0,0,9.75,3.37,0,6.63,1.53,0.88
 96-106,0,0,0,0.72,56.66,6.64,0,22.15,9.59,0,5.43,9.94,0,0.92,38.63,7.53,1.25,9.97,3.35,28.59,1.28,2.78,0,82.63,0,4.42,2.63,0,1.44,330.21,0,0,0.89,0,0,1.96,1.22,0,1.43,2,0
108-118,0,0,1.03,0,67.41,7.92,0,14.4,42.03,1.75,5.08,18.62,2.74,0,41.84,9.34,0,9.07,0,35.53,16.29,5.94,1.93,49.85,0,5.62,0,0,0,358.31,0,0,0.44,0,0,5.91,1.74,0,5.4,0.73,0
120,0,0,1.73,0,68.26,7.49,0,1.69,27.96,0,21.2,42.62,0,0,69.96,8.09,0,3.58,3.92,22.94,17.7,0,0,6,0,1.77,1.98,0,0,181.36,0,0,0,0,0,0,0,0,32.37,0,0
