stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,96.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.24,261.36,0,0,0,0,0,0,0,0,0,20.05,0,0,9.1,0,0,0,0
  7-9,3.24,0,7.49,0,0,3.92,0,0,0,0,0,131.81,7.1,48.05,0,0,0,0,0
 10-12,0,0,0,0,0,8.09,0,0,0,0,0,101.84,0,75.99,0,10.68,0,0,0
 14-21,0,0,0,0,0.98,0.91,0,0,0,0,1.1,7.26,1.01,0,0,0,0.86,1.97,0.82
 24-34,0,0,0,0,0,0.67,0,0,0,0.67,0.61,15.42,0,0,0,0,0,0.71,1.02
 36-46,0,0,0,0,0,0,1.94,0,0,2.93,1.28,8.86,0,0,0,0,0,13.55,4.34
 48-58,0,0,0,0,0,1.58,0.5,0,0,0,0,3.26,0,0,0.38,0,0,1.24,0
 60-70,0,0,0,0,0,2.1,0.84,0,0,0.62,1.54,2.52,0,0,5.62,0,0,0,0
 72-82,0,0,0,1.05,0,5.24,1.8,0,0,2.92,0,3.12,0,0,0,0,0,0,1.04
 84-94,0,0,0,0,0,0,0,0,0,1.02,0,1.93,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.84,0,0.73,1.03,0,0,0,0,0,0,0,0,9.71,0
108-118,0,0,0,0,0,0.67,1.39,0,0,0.69,0,8.18,0,0,0,0,0,1.81,0
