stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,2.04,0,0,0,1.01,0.81,2.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.78,1.75,0,0,2.73,0,0,0,0
 36-46,0,0,5.14,0,0,0,0,4.21,0,17.45,0,0,0,0,0,4.25,0,0
 48-58,0,0,0,0,0,0,0,0.44,0,6.78,0,0.41,0,0,0,1.28,0,0
 60-70,0,0,10.94,5.22,0,0,0,0.76,0,10.41,0,0,0.72,0,0,1.37,0,0
 72-82,0,3.07,19.4,0,0.92,0.81,0,1.73,0,24.92,0,80.01,0,0.67,0,0.74,0,0
 84-94,0.7,0,0,0,0,0,0.72,1.68,0,12.65,0,16.62,0,0,0,0,0,2.11
 96-106,0,0,12.03,0,0.93,0,0,0.58,0,7.01,0,0.82,0,0,0,0,0,0
108-118,0,0,16.41,0,5.3,0,0,7.52,0,4.24,0,1.34,0,0,0,0,4.86,0
120,0,0,4.31,0,0,0,0,1.86,3.25,29.55,0,44.99,0,0,0,12.32,0,0
