stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0.97,0,0,0,0,0,0,3.03,2.04,0,0,1.65,0,0,0,0,96.57,6.09,2.84,0,0,0
 24-34,0,0,0,5.41,0,0,7.59,134.79,1.53,0,3.37,0.61,0,0,0,0,0,0,7.25,0,0,66.71,89.34,0,1.36,0,0,0,10.12,1.39,148.38,26.65,22.21,0,4.53,0
 36-46,0,0,0,1.7,0,0,23.7,232.24,0,0,0.83,0,0.88,0,0.77,0,0,1.24,12.92,0,0,31.36,107.94,2.74,2.76,0,0,0,0,0,191.89,2.85,20.93,0,1.58,0
 48-58,0,0,0,9.87,0,0,42.38,223.99,0,0,7.52,0,0.47,1.57,0,1.03,0.66,1.21,15.18,0.59,0,32.19,203.27,0.38,1.14,0.86,0,0.56,6.88,0,133.06,0,34.41,0,2.69,17.3
 60-70,0,0,0,7.07,0,0,73.68,154.21,0,0,9.04,0,0.58,0,0,0,0,1.05,16.36,0,0,30.25,147.93,1.1,0,0,0.81,0,1.42,0,65.56,0,9.69,0,0,0
 72-82,0,0,3.31,6.13,0,0,25.39,125.02,3.67,0,5.17,0,1.07,0.79,0,0,3.3,0,11.19,0.94,6.94,11.18,61.08,0,0,0,0,0,1.65,0,46.46,0,4.92,0,0,7.57
 84-94,0,0,0,2.39,8.77,1.52,51.1,163.63,0,2.69,12.01,0,0,1.41,0.83,0,0,12.84,35.51,1.34,3.19,21.21,80.42,0,2.17,0,0,0,16.36,0,52.79,0,31.92,0,0,7.05
 96-106,0,0,0,11.96,11.53,0,78.66,230.68,0,4.2,16.48,2.07,2.53,2.18,0,0.71,0,0,27.34,0.67,3.55,19.62,105.55,0,0,1.24,0,0,13.03,1.33,47.17,0,1.16,2.72,4.4,0
108-118,0,1.18,0,2.91,2.74,4.64,43.31,164.88,0,0,11.25,0.48,0,0.91,0.48,0,2.98,0,23.64,0,0,29.86,60.47,0,1.77,1.33,0,0,6.35,0,47.03,0,0,0,0.64,2.54
120,0,0,0,1.14,14.1,0,13.43,92.6,0,0,0,0,0,0,0,0,0,0,20.23,0,12.61,67.39,67.18,0,0,2.59,0,7.06,0,0,17.66,0,0,0,0,1.16
