stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,7.15,0,0,4.4,0.93,0,0
 24-34,0,0,0.73,0,0,0,0,0,0,0,0,0,12.51,9.48,0,0,0,1.15,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.7,0,12.69,0.62,0,0,0,1.08,0.91
 48-58,0,0,0,0,0,0,2.96,0,0,0,4.66,1.03,1.02,0,0,0,0,0,0
 60-70,0,0,0,0.65,0,0,18.5,0,0,0,0,0.6,4.69,0,0,0,0,0,0
 72-82,0,0,0,0,0.65,2.97,62.01,0,0,1.74,2.32,0,4.69,0,0,0,0,0,0
 84-94,0,0,0,0,3.1,0,33.35,1.88,1.36,0,0,1.26,3.1,0,0,0,0,3.71,0
 96-106,0,0,0,0,4.59,0,41.35,0,0,0,0.62,0.81,0,0,1.38,0,0,0,0
108-118,0,0,0,0,0,2.2,14.77,0,0,0,0,1.07,0,0,0.69,0,0,0,0
120,0,0,0,2.25,0,0,45.68,0,0,0,0,1.38,0,0,0,0,0,0,0
