stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.56,385.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.03,0,0,0,0,0,0,0,0,0
  5-6,0,89.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.49,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,15.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.62,0,5.14,0,0,0,0,0,0,636.6,0,0,0,0,0,0,0,0,0,152.71,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.98,15.06,0.96,0,0,0,0,0.82,15.67,0,0,0,0,0,0.9,0,0,0,20.1,0,0,0,1.82,0,3.58,0,0,1.72,13.31,0,1.89,0,0
 24-34,0,0,0,2.59,0,9.89,0,0,0,0.64,0,0,3.15,0,0,1.17,0,7.12,0,0,4.1,40.54,0,0,0,0,0,0,0,0,0,16.53,0,16.31,0,0
 36-46,0,0,0,0,0,436.04,0,0,0.77,3.65,0,0,0,0,0,0,0,6.29,0,0,3.19,53.06,0,0,1.05,0,0.88,0,0,0,0,6.54,0,2.61,0,0
 48-58,0,0,0,0.84,0,1920.83,0,7.93,0.53,7.72,0,0,0,3.09,0,0,0,8,0,0,2.25,131.42,0,0,0,0,1.91,0,0,0,0,14.05,0.42,16.12,0,0
 60-70,0,0,0,4.18,0,3280.33,0.94,0,0,10.05,0,0,0,0,0,0,0,10.75,0.58,0,0,87.14,0,0,0,0,1.06,0,4.67,0,0,5.23,0.61,10.06,0,11.22
 72-82,0,0,0,2.57,0,1617.94,1.66,0,6.77,3.79,0,1.12,1.16,0,0,0,0.8,16.54,0,0,0,42.8,0,0,0,0,0,0,0,0,0,3.63,0,6.14,0,0
 84-94,0,0,0,3.37,0,1716.88,0.56,1.23,0.7,7.43,0,0,0,0.55,0.62,7.25,0,18.4,0,2.76,1.02,32.56,1.02,0,0,0,0,0,0,0,0,3.36,0,1.32,0,0
 96-106,0,0,0,2.5,6.67,1064.93,0,0.65,0,5.92,0,0,0,3.73,0.73,0,0,11.73,0,0.94,0,45.82,0,0,0,0,1.27,0,0,0.6,0,0.86,0,4.48,2.48,0
108-118,0,0,0,4.9,0,996.38,0,0,0,8.39,0.77,0,0,0,0.9,0.67,2.99,6.2,0,0,0,36.41,0.41,1.69,0,0,1.14,0,0,0,0,2.21,0,3.48,0,7.4
120,0,0,0,0,1.32,763.18,0,0,5.18,6.57,0,0,0,0,0,0,0,2.84,0,0,0,43.37,0,0,0,0,0,0,0,0,0,0,0,15.02,0,0
