stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,102.8,5.87,0,0,0,0,0,2.1,4.59,0,0,23.22,1.29,0,0.93,0,0,6.77,0,0,1.98,17.99,5.1,0,0,0,0.92,1.87,0.9,0,2.78,21.02,0,0,2.78,0,0
 24-34,0.75,0,112.04,0.61,0,24.52,0,11.32,0.74,2.38,3.11,0,1.92,17.92,1.74,0,1.92,0,0,47.03,2.49,0,14.21,498,9.05,4.06,8.82,0,122.52,0,0,0.69,7.49,64.66,0,0,18.15,0,0.77
 36-46,0,0,70.46,1.32,0,23.77,6.72,90.31,11.49,20.04,3.15,0,2.68,128.17,0,0,0,0,1.09,17.77,7.76,6.49,8.44,481.37,18.42,4.33,18.56,0,173.71,0,12.77,9.3,10.34,29.77,0,0,76.05,0,3.56
 48-58,0,0,75.87,1.99,0,77.33,5.55,41.89,1.02,12.47,4.77,1.64,0,172,6.7,6.47,0.5,0,5.15,5.19,3.76,0,15.56,202.02,33.75,4.39,10.51,0,92.31,0,1.65,8.39,0,47.61,0,0,1.88,0,12.65
 60-70,0,0,79.91,9.03,0,184.56,1.38,153.15,1.48,31.17,3.41,0,0,327,1.02,1.14,0,6.57,1.05,129.84,1.41,10.9,4.35,370.08,3.13,0,3.17,0,115.96,0,0,1.44,0,45.03,0,0,4.19,0,1.17
 72-82,0,0.75,16.28,27.14,0,126.19,3.24,9.24,6.04,23.2,2.91,0,0,291.89,4.04,1.91,0.83,4.98,0,89.63,5.29,3.46,0.87,245.47,3.23,0,0,1.1,80.15,0,0,0,0,12.91,0,6.51,16.42,5.34,13.71
 84-94,0,0,32.29,0.56,1.52,28.73,0,24.66,1.38,4.49,1.27,0,0,451.35,1.33,0,1.72,0,0,44.36,1.85,0,2.05,86.18,1.22,0,0,0.6,56.05,0,0.67,0,0,16.03,0.86,1.27,2.4,8.44,0
 96-106,0,0,233.26,15.69,1,53.81,1.62,56.66,3.18,7.27,5.81,0,1.82,471.46,0.73,0,3.5,1.78,0,47.89,1.65,0,6.2,127.93,3.3,1.55,1.8,0,41.07,0,18.81,0,0,0,0,2.8,4.56,5.79,0
108-118,0,0,89.21,12.18,13.77,48.04,0,101.74,5.37,11.54,2.59,0,0,593.73,2.54,0,0,1.63,0,61.38,3.51,3.83,0.77,59.63,2.8,0,8.99,0.92,36.43,0,0,0.49,0,3.36,0.41,0.41,1.91,3.5,1.1
120,0,0,62.79,16.28,1.78,178.61,0,66.19,0,17.26,11.37,0,0,374.89,0,0,0,1.5,0,137.95,0,79.74,17.14,272.86,2.58,0,6.11,0,70.2,0,1.14,0,0,4.57,2.24,2.2,1.09,8.03,3.14
