stage,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,taste
  7-9,0,0,14.11,0,0,0,0,0,0,0,4.19,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
 24-34,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.66,10.87,0,0,0.64,0
 48-58,0,0,0,0.74,0,0,0,0,0.54,14.14,0,0.59,9.21,0
 60-70,0,0,0.69,0,0,0,0,2.07,0,7.93,0,0,0,0
 72-82,0,0,2.23,0,0,1.74,0,1.59,0,9.84,0,2.32,0,0.5
 84-94,0.72,2.89,4.62,0,0,4.33,0,0,0,5.91,0,5.37,0,0
 96-106,0.64,0,0.82,0,3.89,3.39,0,2.68,0,9.15,0,42.85,0,0
108-118,0.48,0,0,0,0,2.31,0,1.01,0,1.06,0,13.74,0,0
120,1.88,0,0,0,0,3.03,3.23,0,0,0,0,12.2,5.59,0
