stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,87.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.59,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,131.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.93,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.57,0,4.56,0,0,0,19.05,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,89.14,11.14,0,0,172.46,0,73.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.7,0,120.62,0,0,0,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.24,0,0,0,324.94,0,7.53,0,221.04,0,5.41,9.81,0,0,0,0,0
 14-21,0,0,0,1.07,3.97,85.64,0,0,0,0,0,0,0,0,0,0.96,0,0,3.71,0,5.46,0,0,0,11.9,0,1.54,1.87,0,0,6.39,7.4,7.73,5.25,6.35,13.14,0,0,7.99,0,0
 24-34,0,0,1.26,4.55,20.41,267.49,0,3.73,3.79,8.97,0,1.85,0,6.42,10.58,4.4,0,2.16,0,0,18.73,3.26,0,4.83,76.69,1.31,34.48,11.01,0,0,32.28,0,10.69,0,20.8,30.02,0,0,30.93,0,1.52
 36-46,0,0,0,0,7.73,65.98,0,0.72,0,10.81,0,2.67,0,2.47,6.81,0.56,0,2.8,0.85,1.75,12.43,0,0,2.09,43.28,0,27.19,7.73,0,0,39.13,0,33.68,0,0,19.32,0,0,14.65,0,0
 48-58,0,0,0,0.43,3.77,59.62,0,6.48,7.5,9.06,6.7,2.19,1.19,6.24,12.42,0.38,0,2.99,2.65,0,19.57,0.84,0.41,1.17,37.36,0,22.86,12.14,0,0,10.61,0,8.23,0,0,10.75,0,0,5.35,0,0
 60-70,0,0,0.65,0,26.2,48.69,0,2.9,1.53,13.44,0.62,10.22,0.66,16.97,35.4,2.78,5.32,22.29,0,0,21.11,1.68,0,0,34.12,0,25.53,17.15,0,0,18.94,0,20.14,0,0,15.63,2.13,0,8.51,0,6.71
 72-82,0,0,15.33,0.75,22.83,70.82,0,5.71,0.65,12.98,2.82,23.87,0,13.71,50,2.78,0,18.31,5.42,0,46.79,0,0,0.8,22.9,0,29.83,36.63,0,1.4,15.55,0,25.79,0,0,0,7.29,0,45.37,0,0
 84-94,0,0,12.53,3.06,30.9,94.45,0,8.75,5.19,5.82,4.94,26.2,1.74,2.97,68.24,13.91,0,8.54,2.2,0,39.76,0.55,2.76,2.39,37.47,0,54.8,36.31,0,4.32,27.99,0,24.35,0,0,8.01,10.53,0,21.17,2.17,0
 96-106,0,0,35.73,3.87,30.86,250.73,0.97,8.97,9.78,5.9,4.88,71.4,0,21.32,78.39,5.47,0,18.38,10.9,0.58,40.52,2.22,2.34,1.66,53.27,0,110.87,58.07,0,0,35.73,0,27.96,0,0,3.95,24.85,0,26.19,0.68,0
108-118,0,0,15.12,3.98,53.38,207.57,1.35,16.54,11,2.94,6.58,70.45,0,1.62,104.69,10.53,0,25.9,17.65,0,22.38,0.43,1.48,0,52.15,0,56.53,65.53,0,0,16.17,0,37.63,0,0,3.37,23.32,0,31.25,1.4,0
120,0,0,24.62,0,53.2,280.89,0,10.36,19.4,0,3.65,107.15,0,6.41,179.13,19.05,0,16.68,29.22,0,10.14,0,0,0,55.12,0,47.96,34.64,0,0,25.91,0,22.44,0,0,0,47.19,5.4,81.83,0,0
