stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,1.93,0,0,1.48,1.23,0,3.88,0,0,0,0,0
 24-34,0,1.9,0.96,0,0.63,0,0,0,0,1.36,0,0,0,1.6,4.1,0,1.59,30.24,0.69,0.9,1.78,0,0,0,7.51,0,0,0,0,2.69
 36-46,0,0.58,0,0,1.31,0,0,0.87,0,0,0,0,0,5.3,3.01,0,1.77,16.34,0,0,0,1.85,0,0,4.41,0,0,0,0,5.17
 48-58,0,0,0,0,11.85,0.81,0,2.18,0,0,0.38,0,0,0.78,4.48,1.23,0,37.75,0.4,0,3.46,6.01,0,0,5.79,0,0,0,0,0
 60-70,0,1.09,0,0,40.65,0,0,11.25,0,0,0,0,0,0.95,4.28,0,0,61.09,0,0,0,0,0,0,6.34,0,0.94,0.82,0,7.25
 72-82,0,0,0,0,14.24,0,2.72,2.48,0,0,0,0.79,0,0,16.07,0,0,33.73,0,0,1.25,0,0,0.66,2.19,0,0,5.02,0,0
 84-94,0,0,3.35,0,13.83,0,0,2.08,0,3.2,0,0,0,3.66,9.26,0,1.57,5.57,0,0,1.22,0.57,0,0,0.98,0.62,0,6.05,2.52,4.84
 96-106,0,0,0,0,0.6,0,0,1.55,0,0,0,0.63,0,0,5.24,0,1.08,27.91,0,0,0.98,0.83,0,0,0,0,0.78,0,0,0
108-118,1.77,1.51,1.31,0.58,11.56,0,0,1.88,1.59,0,0,0.51,0.78,0.89,4.35,0,0,29.11,0,1.12,1.35,2.96,0,0,0,0,0,0,0.68,0
120,0,6.43,0,0,14.3,0,0,13.97,4.3,0,0,0,0,0,13.63,0,0,86.16,0,1.7,3.14,4.03,0,0,0,0,0,1.54,15.92,0
