stage,epidermis,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,otic,slow_muscle,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0.92,0,0.86,0,0
 24-34,1.36,0.64,0.74,0,6,0,5.96,2.67,0,0,0,0.97,0
 36-46,0,0.69,3.08,0,27.53,0,8.76,2.32,0,0,0,0,0
 48-58,0.45,0,5.14,0,39.49,0,5.44,20.33,0,0,0,0.47,0
 60-70,0,0.83,6.88,0.61,53.9,0,4.8,6.54,0,6.52,0,0,0
 72-82,0,5.83,0,0,106.21,0,9.67,2.86,0,0,0,0.92,0
 84-94,0,0.62,3.43,0,122.17,0,4.19,2.52,0,0,0,0,0
 96-106,0,4.14,0.81,2.46,59.33,0,3.64,10.14,0,0,0,0,0.78
108-118,0,4.82,0.49,2.15,67.83,0,4.69,14.51,0,0,0,0,0
120,0,9.38,3.89,0,54.33,9.52,4.38,8.75,0,0,0,0,0
