stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.18,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.89,0,0.86,1.47,0,0,0,93.37,0,0,0,0,0
 24-34,0,0.84,0,2.37,0.96,0,12,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,1.05,1389.49,0,48.37,0,0,3.36,1.45,317.05,0,0,0,0,0
 36-46,0,0,0,2.93,0,0,104.97,0,0,0,26.91,0,0,0,0,0,0,6.58,0,10.09,0,0,1.3,3259.12,0,64.21,0,0,17.63,0,546.55,0,0,0,0,0
 48-58,0,0,0,15.53,2,0,288.41,0,0.56,2.18,46.32,0,0,0,1.1,0,6.72,0,1.59,16.24,0.59,4.09,0.64,4601.9,0,51.94,0,0,3.58,7.59,577.51,0,0,1.53,0,0
 60-70,0,1.68,0,16.66,0,0,629.1,0,0.94,0,39.88,2.86,9.59,0,1.92,0,0,0,0,22.59,0,0,1.76,5970.45,1.73,41.34,0,0,9.29,0,642.34,0,4.5,0.67,0.81,7.71
 72-82,0,4.95,0,15.76,5.83,0,773.67,0,0,0.96,55.54,3.31,0,2.08,0.59,0,0,0,0,39.66,0,4.6,0.58,6204.18,0,60.84,14.77,0,1.46,0.68,439.13,4.69,1.34,5,0,0
 84-94,0,4.96,0,19.06,0.67,0,610.9,0,0,3.34,60.13,4.15,0,0.7,0.91,0,11.72,0,0,28.09,6.09,1.27,2.65,4428.7,0,59.75,1.99,0,6.82,0,355.54,0,0,2.49,2.23,9.49
 96-106,0,0.61,1.07,27.6,20.48,0,655.57,0.69,3.79,0.64,83.19,8.99,0,0,2.78,3.7,0.75,35.18,0,38.01,0,0,1.53,4242.53,0,132.36,1.46,0,5.88,0,187.96,6.06,0,0.64,1.91,10.79
108-118,0,2.92,0,34.78,4.58,6.19,664.87,1.74,4.23,0,77.19,4.98,0,0,2.22,5.04,0,6.25,4.49,23.15,1.22,3.6,4.54,4827.5,0,80.82,3.42,1.05,4.88,0,144.66,2.7,0,2.39,0,0
120,0,0,0,58.16,1.71,0,653.33,0,0,19.12,90.89,0,0,0,5.69,0,0,0,1.51,68.33,0,0,0,5809.73,0,76.22,5.61,0,4.77,0,179.17,0,0,1.1,0,0
