stage,blastomeres,eye,glial,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal_cord
  3-4,0,0,0,0,0,0,0,0,28.52,0
  5-6,17.14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.98,0,0
 10-12,0,0,0,0,0,0,0,6.87,0,0
 14-21,0,0,0,0,0,0,0,3.73,0,1.15
 24-34,0,0,0,0,0,0,0.66,3.28,0,1.6
 36-46,0,0.6,0,0,0.67,0,0,1.73,0,0
 48-58,0,0,0,0,0,0,0,4.58,0,0
 60-70,0,0,0,0,0,0.7,0,0,0,0
 72-82,0,0,0,0.49,0,0,0,0,0,0
 84-94,0,0,0,4.46,0,0,0,0,0,0
 96-106,0,0,0,13.5,0,0,0,0,0,0
108-118,0,3.67,0,18.37,0,0.42,0,5.4,0,0.96
120,0,0,14.27,1.43,0,0,0,0,0,0
