stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vasculature
 14-21,4.07,0,0,2.17,0,0,0,0,0,0,0.83,0,0,0,10.33,0,0,4.9,0
 24-34,0,0,0,0.8,0,3.14,0,0,0,0,0.76,0,0,0.75,13.4,0,0,4.32,0.74
 36-46,0.94,0,0,5.82,0,1.48,0,0,0,0,0,0,0,0.61,24.54,1.16,0,3.93,0
 48-58,0,0,0,9.4,0,1.58,0,0.64,0,0,2.68,0,0,0,28.14,0.89,0,11.5,0
 60-70,0,0,0,15.28,0.76,4.34,0,0,0,0,1.91,1.76,0,0,20.35,0,0,1.19,0
 72-82,0,0,0,8.61,0,3.91,0,0,0,0,1.49,0,0.87,0,26.24,1.16,0.51,5.24,0.91
 84-94,0,0,0,17.57,0,0.66,0.64,0,0.75,0,9.36,0,0,0,42.61,0,0,6.47,0.93
 96-106,0,0,5.91,29.8,0,5.38,1.73,0,0,3.66,6.09,0,0,0,22.05,0,2.36,4.92,0.65
108-118,0.69,0.49,0,19.96,0,2.74,0,0,0.56,0,6,0,0,0,22.67,0,0,0,0
120,1.18,0,0,3.4,0,1.51,0,0,0,0,17.46,0,0,0,58.88,0,2.84,0,0
