stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,150.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,58.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,3.43,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,1.04,0,0,0,0,0,1462.79,0,0,0,1.22,0,0,1.46,0.91,0,0,0,0,0,0,0,1.73,2.27,0,0,0.87,0,0
 24-34,0,0,0.61,5.48,1.98,0,12.87,1.45,0,2.74,0,0,4704.26,0,10.67,0,9.42,0,0,3.96,118.41,1.36,2.46,0,0,3.52,0.63,0,0.63,9.68,0,0,8.43,0,0
 36-46,0,0,0,0,69.63,0,18.03,0,0,0,0.66,0,3153.85,0,0,17.51,13.47,0,0,3.85,71.88,0,0,0,0,0,0,2.3,0,18.18,0,0,0,0,0
 48-58,0,0,0,4.14,2.15,0,10.31,0,2.41,4.66,0,0,2062.02,0.4,0,6.43,23.34,0,0,1.74,53.93,4.33,0,0,0,0.78,0,0,0,8.76,0,0,0,0,0.93
 60-70,0,0,0,1.54,5.34,0,14.46,3.9,3.73,3.08,0,0,1858.29,0,0,0,150.2,0,5.24,0,57.68,1.22,0,0,0,3.1,0,0,0,8.92,0,0,0,0,7.74
 72-82,0,0,0,0,0,0,19,0,0.56,6.63,0,0.89,1061.38,2.88,0,0,238.9,2.08,3.05,0,34.92,0.58,1.37,0.67,0,6.86,0,0,0,3.62,0,0.66,2.66,0.57,0
 84-94,0,0,0,0.62,2.12,0,26.35,0,0,0,0,0,1737.3,0,4.39,0,121.75,0,0,0,73.19,5.09,0,0,0,5.5,0,0,0,0.66,0,3.95,4.96,0,0
 96-106,0,0,0,1.21,12.9,0,35.61,0,0,12.23,3.64,0,1660.73,0.79,0,0,181.62,0,0,0,16.68,2.34,0.59,0.65,0,3.54,0,0,0,7.72,0,0,11.03,1.22,0
108-118,0,0,0,2.09,17.06,0.78,21.89,0,1.2,5.71,0.46,0,1460.2,0,0.43,0,247.34,0,0,1.37,27.55,0.44,0,0,0,1.13,0,0,0,2.94,4.38,0,0,0.98,0
120,0,0,0,12.04,0,2.68,29.41,0,5.6,0,0,0,2655.7,0,0,0,114.8,0,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0
