stage,fast_muscle,mesenchyme,mural_cell,muscle,neural,periderm,slow_muscle,spinal_cord
 36-46,14.86,0,0,0,0,0,0,0.95
 48-58,2.32,0.52,0,0,0,0,3.4,0.85
 60-70,4,0,0,3.64,0,0.67,0,0
 72-82,0,0,0,0,1.32,0,2.68,0
 84-94,0,0,0,0,1.58,0,0,0
 96-106,0,0,7.22,0,0,0,0,0
120,1.1,0,0,0,0,0,0,0
