stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4.77,11.53,1.32,0,0,1.27,0,0,0,2.62,0,0,0,0,0,0,0,6.18,0,0,2.21,31.95,0,0,0,0,0,4.02,0,3.63,3.87,10.77,0,0,0,0,0
 24-34,8.91,7.04,2.22,0,0,11.9,0,2.89,0,3.57,2.53,7.31,0,4.5,0,0,0.65,18.29,0,0,1.87,460.09,0,3.18,1.03,0,9.09,0,0,0,0.77,39.29,0,0,3.73,0,0
 36-46,3.85,0,38.25,0,0,11.33,0,2.18,0,1.25,2.82,13.51,0,0,3.71,3.95,2.52,50.07,0,0,3.62,1239.7,0,4.58,8.11,0,2.31,0,0.7,0,0,80.61,0,0,16.8,0,0
 48-58,5.43,0,2.25,0,0,43.63,0,4.9,0.84,17.19,5.89,4.43,0,0,0,0,0.89,53.95,0,0.38,3.55,684.35,0,3.23,6.13,0,0.45,0,0,0,0,76.94,0,0.85,8.73,0,0
 60-70,7.61,0,4.68,0,0,32.95,0,12.88,2.43,18.14,3.65,9.29,0,0.62,1.16,0.56,9.01,136.61,0,0.66,7.2,525.93,0.62,0,15.79,1.65,1.22,0,0,0,0,19.2,0,0,0,0,0
 72-82,12.55,0,10.94,0,0.76,117.57,0,4.31,0.49,12.34,9.88,11.54,0,1.54,0,1.05,8.74,130.65,2.46,6.52,2.79,674.63,0,5.97,16.49,3.69,0,0,1.16,0,0,43.13,1.81,0,9.3,0,5.23
 84-94,12.18,0,19.8,0,0.76,103.77,0.57,13.98,1.66,8.35,25.77,7.63,0.67,7.61,0,0.8,6.26,140.58,0.98,5.02,1.26,437.95,0,2.46,5.62,3.68,4.57,0,2.21,0,0,34.76,9.88,2,8.37,0.57,0
 96-106,5.08,0,18.07,4.99,0,87.98,0,6.71,0,11.41,8.94,11.14,0.87,0.68,0.92,3.49,7.12,129.03,8.07,7.31,0.71,460.71,0.62,0.66,10.3,1.98,7.67,0,0,0,0,25.63,24.18,1.15,18.99,2.65,0
108-118,9.87,1.55,13.49,0.93,8.5,120.78,0,16.13,2.61,12.6,9.96,5.77,2.44,1.26,0,1.57,18.24,147.51,7.49,2.84,2.13,485.92,0.41,6.01,8.48,1.31,2.35,0,0.51,0,0,22.04,19.98,4.55,30.79,5.26,0
120,15.98,1.66,3,0,0,108.23,0,30.23,3.55,48.7,26.07,11.26,0,6.23,0,2.19,0,129.61,0,0,2.96,802.61,0,0,35.76,6.17,0,0,0,0,0,6.05,33.35,5.98,2.5,7.78,0
