stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.56,229.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.84,0,0,0,0,0,0,0
  5-6,0,71.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,0,0,0,0,47.2,3.21,0,0,15.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.72,0,0,0,0,0,0,0,0,23.87,0,0,0,25.74,0,0,0,9.43,0,5.26,0,0,0
 14-21,0,0,1.78,0,0,0,0,0,1,0,0,0,0,0.92,0,0,0,1.15,6.74,0,0,0,0,0,1.44,6.26,0,68.66,186.76,0,0,0
 24-34,0,0,0,1.84,4.49,2.9,0,1.35,0,0,0,0,0,0,0.92,0,0,16.43,28.45,0,0,0,0,0,0.74,0,0,21.73,86.01,1.64,1.95,0
 36-46,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,1.31,0,0,4.67,7.53,0,2.74,0,0,0,0,0,0,19.53,1.62,1.05,0,0
 48-58,0,0,0,0,5.59,10.15,0,0,0,0,0,0,0,0,1.35,0,0,8.75,4.15,0,0,0,0,0,0,0,0,2.43,0,5.3,0,0
 60-70,0,0,0.71,1.47,5.24,6.47,0,1.51,0,0,0.61,0,0,0,0,0,0,2.02,8.28,1.53,0,0,0,0,0,0,0,5.2,0,3.88,0,0
 72-82,0,0,0,16.62,7.21,10.64,0,3.74,0,0,0,0.85,0,0,3.56,0,1.43,4.18,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.98,25.69,9.83,2.72,0,0,0,0.66,0.95,0,0,0,8.48,1.71,0,4.07,2.84,0,0,0,0,0,0.67,0,0,5.77,0,0,2.74,0
 96-106,0,0,11.34,51.04,17.81,5.66,0.77,2.94,0.7,0,0,1.56,0,0.99,3.17,0,0,7.28,26.47,0,0,0,0,2.01,0,0,0,4.72,0,2.12,0,0.86
108-118,0,0,3.27,24.68,2.74,12.91,0,7.69,0,0,0,0.63,0.44,1.31,6.15,2.35,0,19.88,16.26,0.72,0,1.83,0,0,5.68,0,0,6.29,0,12.33,0,0
120,0,0,1.56,25.16,14.06,21.9,0,12.41,0,0,0,0,0,0,0,0,0,16.12,18.31,0,0,1.76,0,0,0,0,0,9.72,0,0,0,0
