stage,blastomeres,epidermis,eye,gut,immune,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,taste
  3-4,43.6,0,0,0,0,0,0,0,0,0,0
  5-6,7.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.71,0,12.07,0
 10-12,0,0,0,0,0,0,0,4.69,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.55,0,0
 36-46,0,0,0,0,0,0,0,7.1,0,0,0
 48-58,0,0,0,0,0,0,0,5.07,0,0,0
 60-70,0,0,0,0.86,0,0,7.79,2.21,0,0,0
 72-82,0,1.16,0,0,0,0,2.71,6.87,0.59,0,0
 84-94,0,0,2.55,0,0,0,10.03,2.78,1.75,0,0
 96-106,0,0,0,0,0,0.58,0,0,0,0,1.04
108-118,0,0,2.8,0,1.02,0,0.59,7.75,0,0,0
120,0,0,0,0,4.21,0,0,18.52,0,0,0
