stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,3195.17,72210.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393.32,0,0,0,0,0,0,0,0
  5-6,3503.71,60742.65,0,19.34,0,0,0,0,0,0,0,144.76,0,0,0,0,0,0,0,0,0,1368.59,42.38,0,0,222.03,0,666.52,0,0,0,0,0,0,0,0
  7-9,193.32,301.94,0,569.67,0,0,374.93,0,0,0,0,181.22,0,0,0,0,0,0,0,0,0,4609.99,239.19,0,0,2766.53,0,10.11,5.5,0,35.39,0,0,0,0,0
 10-12,0,170.65,0,428.64,0,88.39,279.27,0,0,0,0,16.18,0,0,0,0,0,0,0,0,0,2695.21,99.26,0,0,998.61,0,0,0,4.36,1342.89,0,10.64,0,0,0
 14-21,0,0,2.97,1.07,7.59,67.05,0.88,0,0,3.4,0.96,0,5.7,0,0,0,0,20.22,0,0,11.47,94.57,1.73,1.13,1.21,0.85,0,0,0,7.33,0,3.79,35.52,0,5.83,0
 24-34,0,0,0.9,0,0.85,12.05,14.03,0.68,0,1.02,0,0,1.13,1.94,0,0,0,16.31,0,0,4.45,297.62,1.6,0,5.23,0,0,1.04,0,0,0,3.88,40.46,0,22.63,0
 36-46,0,0,0,0,4.81,3.51,38.73,0,0,11,0,0,0,0,0,0.61,0,30.35,0,0,5.65,349.61,0,0,0,0,0,0,0,0,0,0,71.52,0,2.58,2.73
 48-58,0,0,0,0,2.26,4.8,53.5,0,0,25.04,0,0,0.58,0,0.98,0,0,13.09,0,0,5.31,132.89,5.31,1.04,0.97,0,0,0,0,0,0,0,34.62,0,2.43,0
 60-70,0,0,0,0,0,9.87,117.41,0,0.64,32.79,0,0,0,0,3.02,0,0,33.01,0,0,2.77,168.08,0,0.84,0,0,0,0,0,0,0,0,16.59,0,0.72,0
 72-82,0,0,0.79,0,2.5,18.11,52.59,0,2.28,10.5,0.84,0,0,0,0,0,6.63,36.39,0,0,4.34,62.12,1.06,0.93,0,0,0,0,0,0,0,0,6.93,0,0,0
 84-94,0,0,1.29,0,2.3,29.03,59.59,8.07,0,2.28,5.51,0,0,1.25,0,0.69,0.57,2.47,4.61,3,4.68,75.28,0,0,5.25,0,0,0,0,0,0,0,11.79,0,3.11,0
 96-106,0,0,0,0,0.63,51.92,35.06,0,0,13.39,0.83,0,0,0,0,0.71,1.99,14.67,0,0,1.75,46.92,0,0,0.81,0,0,2.2,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.41,21.43,12.72,0,0,11.61,0,0,1.33,0.46,3.12,0,0,7.41,0,0,0.6,31.62,0.69,0,0,0,3.17,0,0,0,0,0,5.57,0.54,3.37,0
120,0,0,0,0,2.67,31.08,16.19,4.09,0,33.24,3.32,0,0,0,2.93,0,0,13.64,0,0,0,67.29,2.28,0,1.1,0,0,0,0,0,1.47,0,0,0,2.39,0
