stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,20.34,376.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0
  5-6,27.46,816.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.66,0,0,24.02,7.86,0,0,0,0,0,0,0
  7-9,10.34,20.86,3.37,0,0,17.01,0,0,0,21.81,0,0,0,0,0,0,0,388.57,5.22,0,105.48,0,0,0,0,0,0,0,0
 10-12,0,0,18.52,0,0,47.25,0,0,0,7.97,0,0,0,0,0,0,0,245.1,0,0,82.99,0,0,10.77,0,0,0,0,0
 14-21,0,0,0,2.88,1.23,4.78,0,2.45,0,0,0,0,0,0,3.21,0,8.88,62.26,0,0,0,0,6.97,1.68,0,2.93,11.36,0.9,0
 24-34,0,0,0,1.07,0,5.54,0,1.57,0,0,0,0,0,1.29,15.39,0,2.03,77.14,0.81,0.73,0,0,0,0.6,0,0.63,19.96,10.32,0
 36-46,0,0,0,2.06,0,8.89,0,0,0,0,0,0,0,0,8.27,0.77,0,50.45,0,0,0,0,0,0,3.15,0,11.28,1.31,0
 48-58,0,0,0,0,0,15.74,0.44,6.86,0,0,0,0,0.39,0,4.3,6.25,2.56,21.07,0,0,0,0,0,0,0,0,13.29,0.91,0
 60-70,0,0,0,4.28,0,10.22,0,7.62,0,0,0,0,0,0,12.41,1.78,0.91,21.51,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.59,1.65,2.15,3.06,0,0,0,0,0,0,9.67,0,1.37,13.35,0,0.49,0,0,0,0,0,0,2.85,1.65,0
 84-94,0,0,0,1.71,0,2.89,0,1.05,0,0,0,0,0,0,6.75,0,0,12.49,1.14,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,9.45,0.84,2.02,0,0,0.73,0,0.61,0,1.37,0,0,6.08,0,0,0,0.69,0,0,0,0,0.91,0,0
108-118,0,0,0,2.33,0,2.52,0,1.08,0.43,0,0,3.84,0.91,0,4.39,0,0,9.46,0,1.03,0,0,0,0,0,0,0,0,5.68
120,1.19,0,0,0,1.25,1.1,0,10.83,0,0,0,0,0,0,0,0,0,34.22,0,0,0,0,0,0,0,0,0,0,0
