stage,epidermis,eye,immune,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,xanthophores
 24-34,0,0,0,0,1.27,0,0,0,0,0
 36-46,0,0,0,0.7,0,0,0,0,8.48,0
 48-58,0,4.95,2.78,0,5.88,0,0,0,1.07,1.33
 60-70,0,0.63,0,0.94,3.63,0,0,0,0,0
 72-82,0,16.95,0,0,8.34,1.18,0,0,0.85,0
 84-94,0.58,1.68,0,0,0,0,0,1.48,0,0
 96-106,0,7.5,0,0,13.4,0,0.85,0,0.66,0
108-118,0,0,0.64,0,7.67,0,0,1.87,4.37,0
120,0,14.52,0,0,3.74,0,0,0,0,0
