stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,7.48,1.12,0,0,0,1.24,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.85,0,0.99,0.61,0,0,0,0,0,1.32,0,0,0,0,7.41,1.15,0,0,32.58,0,3.9,2.72,0,0,438.25,0,0,0,0.65,9.63,0,0,1.11,0,0
 36-46,0,0,0,0,0,0,0,0,14.25,0,0,2.26,0,0.87,0,10.83,0,0,0,0,4.34,5.41,0,3.24,47.73,0,10.14,1.08,0,0,1243.08,0,3.55,0,0,3.96,0,0,1.94,0,0
 48-58,0,0,0,5,1.31,0,31.62,0,79.99,2.97,0.81,1.53,0.39,0,2.19,6.99,0,0,0.58,2.55,15.56,24.53,0,1.29,99,0,21.84,0.45,0,3.8,3419.1,0,3.49,0,0,9.83,0,0.51,3.53,0,13.37
 60-70,0,0,0,57.16,0.73,0,104.18,0,196.17,6.13,6.14,5.53,8.56,0,1.37,34.82,1.62,0.8,0,0,16.04,41.45,0.81,1.51,162.82,0,107.72,0,0,0,9823.83,0,5.83,0,0,25.73,0,0,0,0.89,6.25
 72-82,0,0,0,339.16,23.58,0,242.23,2.12,290.32,14.17,50.24,16.91,0,0,10.6,107.99,0,4.07,5.76,0.49,76.92,110.05,7.12,6.79,482.49,6.52,111.34,8.63,0,3.32,14510.26,0,3.6,3.45,0,14.92,28.87,4.15,20.07,10.17,24.25
 84-94,0,0,0,861.55,19.29,0,200.68,1.92,989.26,2.38,22.87,23.76,0,0,4.81,418.5,0,0,0,16.36,60.81,211.23,4.09,3.92,324.24,2.22,420.91,1.92,0,0,40298.7,0,48.27,13.63,0,23.85,17.25,5.84,5.11,10.14,9.43
 96-106,3.8,2.16,0,2617.03,173.57,16.24,712.26,5.61,1854.32,23.92,209.68,106.14,0,3.12,60.7,937.45,13.23,54.93,63.37,10.96,225.57,652.78,11.99,37.67,1611.61,2.97,746.87,12.06,1.2,6.52,62675.89,0,119.72,15.57,0,38.63,105.29,9.81,72.51,34.81,77.61
108-118,0,4.68,0.74,2429.92,35.4,6.84,316.68,3.74,2379.56,11.24,114.81,93.87,0,3.59,55.13,1170.63,13.31,12.54,19.18,6,192.93,738.73,16.05,19.32,1028.56,1.98,468.01,8.21,0,3.67,48660.38,0,71.88,1.06,0,15.87,101.2,2.24,11.04,22.85,13.56
120,1.19,0,0,1890.62,29.62,23.14,184.14,0,1554.65,1.44,50.93,38.08,0,0,36.58,536.74,1.01,7.55,5.48,0,123.8,375.63,1.45,49.19,875.72,17.49,355.38,12.47,0,0,28055.89,0,49.53,1.47,0,31.61,32.64,3.48,6.95,16.53,7.88
