stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,72.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,23.55,0,0,0,0,0,80.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.75,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,25.41,33.48,45.68,3.55,0,3.11,0,0,0,0,0,1.93,0,15.36,0,0,0,0,166.38,0,0,42.29,470.81,0,0,0,0,0,0,0,0,8.94,490.56,0,0,0,0,0
 24-34,0,28.9,1.58,8.32,0,0,7.43,0,0,0,0.8,1.22,0,0,0.64,0,1.23,0,0,10.49,0,0,0,2076.72,0,7.65,1.65,0,0,4.92,0,0.62,1.33,3222.96,0,0,1.15,0,0
 36-46,0,759.34,0,123.27,11.24,0,13.88,13.06,0,0,31.84,0,1.8,0,0,0,0,0,0,5.1,0,0,18.83,4436.87,1.7,3.67,0,0,0,11.03,0,0,0,3527.04,0,0,0.72,0,0
 48-58,0,727.65,0,6.57,0,0,91.44,0,2.05,0,94.23,0,0,0.89,0,0,0,0,0,11.61,0,1.21,9.06,5053.04,3.77,2.83,0,0,0.56,16.05,0,0,0,1346.13,0,0,0,0,8.07
 60-70,0,873.32,0,1.57,0,0,355.19,0.66,2.64,1.65,62.04,2.28,1.53,0,0,0.61,0,0,0,47.37,2.07,0,42.06,8540.9,0,1.78,0,0,0,8.12,0,0,0,468.76,0,0,14.05,0,9.17
 72-82,0,6637.33,0,7.92,3.72,0,734.18,6.73,0,1.46,93.67,0.66,1.02,3.55,0.63,0,2.64,0,6.24,67.47,1.01,5.29,12.57,16642.24,0,6.84,1.52,0,0.71,7.81,0,0,0,422.4,0,0,5.85,1.53,6.66
 84-94,0,1628.41,0,281.05,2.55,0,812.77,0,1.51,7.13,168.61,1.45,0,2.76,0,30.92,0,0,0,104.42,1.39,0,0.6,12353.11,0,14.71,0,0,0,9.7,0,0,0,334.51,0,1.38,1.96,0.64,0
 96-106,0,2891.34,3.76,92.94,24.36,0.9,184.82,0,5.43,2.63,53.33,5.04,0,7.05,1.89,0,0.62,25.05,0,67.72,1.75,9,3.34,12023.54,5.91,2.97,0.65,0,3.62,48.05,0,0,0,775.84,0,0,7.07,4.93,3.81
108-118,0,3823.87,0,36.75,14.66,8.35,356.72,0,1.41,1.5,40.07,4.89,3.6,1.89,0.46,25.74,0,6.14,0,158.87,1.22,3.15,0.87,9222.2,0.62,5.48,2.32,0,0,16.96,0.94,0,0,92.33,2.28,2.4,5.34,1.47,6.92
120,0,5085.95,0,198.91,6.24,17.31,799.1,0,2.77,88.95,102.77,8.37,0,10.13,0,0,0,13.18,0,39.16,4.92,0,144.37,19631.95,0,1.61,0,0,0,10.08,2.44,0,0,48.36,0,0,0,0,0
