stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,110.71,2423.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.65,0,0,0,0,0,0,0,0,0
  5-6,252.09,4295.32,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,195.26,16.84,0,0,7.71,52.75,0,0,0,0,0,0,0,0,0
  7-9,82.01,92.23,0,80.53,0,0,172.49,0,0,0,0,69.83,0,0,0,0,0,0,0,0,1600.91,54.48,0,0,625.89,23.06,0,0,0,0,0,0,0,0,0
 10-12,0,37.51,0,55.83,0,0,164.39,0,0,0,0,4.32,0,0,0,0,0,0,0,0,1221.32,39.45,0,0,365.16,0,0,44.46,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,16.88,1.05,9.29,0,0,0.83,0,0,0,0,0,0,0,5.56,0,7.02,104.24,2.46,0,0.98,1.66,0,12.86,0,0,7.96,33.14,0,0,0,0
 24-34,0,0,0,0,4.32,0.6,25.04,0.7,1.59,1.81,0,0,1.85,0,0,0,0.62,27.87,0,5.86,248.52,0,1.33,1.92,0,19.23,0,0,0.7,0,57.21,0,2.98,0,0
 36-46,0,0,1.4,0,1.29,18.5,41.96,0,0,2.24,0,0,0,0,0,0,0,19.68,0,3.79,211.21,0,0,9.27,0,16.5,0,0,0,0,21.24,0,0,0,0
 48-58,0,0,0,0,0.48,0,51.3,0,0.51,16.16,0,0,0.67,0.37,3.14,1.22,0,9.76,1.14,4.71,140.23,0,1.11,6.46,0,0.76,0,0,0,0,28.61,0,0,0,0
 60-70,0,0,0,0,1.21,0,62.34,0,0,6.08,0.99,0,1.47,0,0,0,0.61,9.99,2.08,0.6,115.52,0,0,1.68,0,10.31,0,4.67,0,0,8.19,0.65,0,0,0
 72-82,0,0,0,0,5.19,0.66,63.29,0.56,0,12.32,0,0,1.74,1.02,0,0,0,24.13,1.01,2.87,96.35,0,1.18,3.5,0,9.35,0,0,0,0,10.65,0,4.93,0,0
 84-94,0,0,0,0,5.06,0,22.79,0,2.52,3.81,0,0,0,0,0.8,0,0,9.11,0,1.13,39.77,0,0,0,0,1.99,0,0,0,0,0,0,3.7,0,0
 96-106,0,0,0,0,0.88,0,18.49,0,0,3.95,0,0,0,1.55,0,0.85,0,18.53,0,0,45.11,0,3.17,0.65,0,25.68,0,0,0,0,1.34,0,0,0,0.79
108-118,0,0,0,0,1.81,0,5.6,0,0,8.09,0.95,0,0,1.15,0,0,1.42,16.96,0,0.97,29.55,0.47,2.03,0,0,1.35,0,0,0,0,0,0,0.42,0.68,0
120,0,0,0,0,7.07,0,27.49,0,3.1,3.19,3.16,0,0,0,2.26,0,0,10.16,0,4.13,51.36,1.55,0,0,0,1.06,0,0,0,0,0,0,0,0,0
