stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,53.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.17,0,0,0,0,0,0,0,0,0
  5-6,8.66,54.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.19,0,0,24.45,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,40.01,18.84,0,0,10.32,0,9.41,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,32.25,0,0,18.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.42,11.66,0,0,77.48,0,5.07,4.36,0,0,7.48,0,0,0,0,0
 14-21,0,0,2.99,14.77,6.31,3.98,0,0,6.36,0.99,0,0,0,9.31,0,0,12.57,0,3.09,0,0,6.89,175.48,0,0,0,0.95,0,19.72,5.39,0,1.17,8.4,43.1,0,10.4,0,0
 24-34,0,0,1.6,5.76,0,11.29,0,0,15.96,0,0,0.92,0,33.47,0,0,2.97,0,20.05,0,0,6.38,421.1,0,0,2.12,0,0,2.96,0,0,0,2.2,102.03,0,49.63,0,0
 36-46,0,0,0,1.19,0,17.94,0,0,24.67,0,0.76,1.51,0,2.9,0,0,0,0,20.96,0,0,5.16,243.05,0,0.7,0.61,0,0,1.44,0,0,0,0,76.89,0,38.7,0,0.66
 48-58,0,0,0,0.41,0,22.61,0,0,39.69,0,0,1.15,0,0.38,0.46,0.89,0,0.56,30.57,0,0.94,2.4,84.42,0,0.86,0,0,0,0,0,0,0,0,45.69,0,19.91,0,0
 60-70,0,0,0,3.23,0,102.72,0,0,35.83,0.57,0,0,0,1.33,0.89,0,0,0,17.05,0,1.86,2.29,40.73,0,0,0,0,0,0,0,0,0,0,3.81,0,12.47,0,0
 72-82,0,0,0,0,0,140.03,0,0,36.87,0.86,0,0,1.48,5.79,2.02,4.54,0,0,27.52,0.49,1.09,0.57,26.5,0,1.08,2.08,0,4.65,1.14,0,0,0,0,2.09,3.48,22.7,2.12,0
 84-94,0,0,0,0.65,0,254.98,0,0.58,11.34,3.91,0,1.5,4.4,13.79,5.84,0.78,0,0,23.76,0,0,0,33.89,0,3.34,0,0,0,0,0,0,0,0,0,7.6,29.05,0,0
 96-106,0,0,0,1.74,2.89,241.18,0,0,9.75,2.66,0,0.78,1.38,13.1,16.31,0,0.7,0,22.08,0,0,2.61,22.71,0,0,0,0,0,0,0,0.6,0,0,0,16.56,43.85,0.65,0
108-118,0,0,0.92,4.59,0,137.11,0.44,0,10.36,2.17,0,0,1.37,8.8,27.58,0.49,0,0,15.64,0.77,0,0,30.76,0,0,0,0,0.89,0,0,0,0,0,0,19.95,30.72,0,0
120,0,0,0,1.56,5.6,139.29,0,0,15.36,4.45,0,0,8.02,6.27,7.45,0,0,0,21.98,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,13.36,65.55,0,0
