stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,93.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,353.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.94,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,208.61,0,0,0,21.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.01,3.67,0,0,0,0,0,3.81,0,0,0,0,0,0,0
 14-21,0,0.8,0,0.88,1.72,0,4.8,0,0,0,21.94,0,0,0,0,0,0,0,0,0,0,0,1.44,401.13,0,7.69,1.14,0,0,0,0,0,0.85,165.17,0,0,0,0
 24-34,0,0.6,0,2.8,0,0,42.22,0,0,0,23.83,0,0,5.14,0,0,0,0,0.62,4.31,0,0,1.71,1419.6,0,18.92,3.14,0,0,0,0,0,1.6,289.1,0,0,0,0.76
 36-46,0,0,0,1.07,0,0,245.7,0,0,0,75.37,0,0,0,0,0,0,0,0.89,7.13,0,0,0.97,2327.04,0,14.58,1.46,0,7.78,0.81,1.06,0,0,429.76,0,0,0,0
 48-58,0,0,0,8.82,2.22,0,631.64,1.02,1.04,1.21,144.78,0,0,0,0,0.43,0,0,1.85,7.49,0,0,6.68,2406.54,9.8,13.71,0.42,0,0.67,0.56,0,1.19,0,427.25,0,0,0,6.13
 60-70,0,0.62,0,14.6,0,0,787.58,0.58,4.57,0,140.28,0,0.66,0,0,15.72,0,0,1.96,20.84,0,0,0,2099.45,0,8.51,2.78,0,0.66,0,0,0,0,242.68,0,0,0.64,4.63
 72-82,0,0,0,9.17,9.56,0,691.51,0,0,0.56,70.37,0.86,0,4.17,0,0.9,3.95,6.2,3.31,11.73,0,0,0.85,1461.66,0,12.2,1.72,0,2.34,0,0,0,0,151.02,0,0.72,0,0
 84-94,0,0,0,2.45,1.44,0.6,381.07,0,2.15,0.58,78.5,2.91,0,0.94,1.56,4.77,0.58,0,0,19.98,0,0.58,0,921.86,0,5.64,14.69,0,1.14,0,0,0,0,101.31,0,1.86,4.81,0
 96-106,0,0,0.72,13.48,1.14,0,349.58,0,0,2.67,49.54,0,0,0,0,1.57,0.58,0,0,19.26,0,1.42,0.77,772.09,0,16.13,8.27,0,4.2,0,0,0,0,23.39,0,1.56,0.61,0
108-118,0,0.57,0,14.21,4,0.56,281.71,0,0,0,80.73,0,0,0.68,1.04,0,1.81,0,0.44,6.62,1.22,1.08,0,955.19,0,2.87,4.25,0,1.03,0,0,0,0,38.48,1.66,0,0,0
120,0,0,0,15.58,0,0,278.29,0,1.83,0,53.94,2.4,0,0,1.39,0,4.93,0,0,12.47,9.06,8.5,1.46,1134.2,0,5.58,11.51,0,0,0,0,0,0,47.14,0,0,2.66,0
