stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,196.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0
  5-6,18.86,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,9.31,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.38,0,0,5.38,0,0,0,0,0.85,0,0,0,0,0,0,0,1.07,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.77,0,0,27.27,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0
 36-46,0,0,0,0,2,0,0,29.51,0,0,0,1.3,0,0,0,0,0,0,0,0,1.21,0,0,0.74,0,0,0.63,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,11.89,0,3.56,0,0,0,0,0,0,0,0,0,0,1.53,0,0.55,2.57,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,724.46,0,0.79,0,0,0,0,1.19,0,0,0,0,1.37,0,0,0,1.03,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0
 72-82,0,0,0,0,11.1,4.46,0,2910.02,0.62,0.8,2.32,11.84,0.84,0,0,1.07,0,9.62,0,4.76,33.59,1.52,1.42,122.04,0,0,0.82,0,0,10.19,0,0,13.15,0,0,5.23,0.51,4.68
 84-94,0,0,0,0,14.78,7.9,0,3862.52,0,8.07,0,3.19,0.92,0,0,0,0.56,4.89,1.57,0,35.43,0,0,52,0,0,1.68,0,0,5.32,0,0,5.7,7.29,2.89,6.48,1.2,0
 96-106,0,0,0,0,13.79,14.63,0,4178.77,1.34,0.69,3.78,16.34,0,0,0,0.65,0,1.99,0,19.52,30.54,0.94,2.62,83.4,0,0.7,0,0,0,15.12,0,4.62,6.86,1.57,0.78,0.57,0.85,0
108-118,0,0,0,0,14.41,9.39,0.91,4580.29,0,0.55,3.48,8.53,0.8,0,0,2.24,1.1,0,0.89,11.6,49.74,0,0,121.55,0.42,1.71,2.63,0,0,26.6,0,0,2.67,0,1.94,7.94,2.65,3.72
120,0,0,1.73,0,24.42,2.38,0,8191.77,0,6.17,6.71,45.34,1.85,5.2,0,5.12,7.57,0,1.84,0,54.56,0,8.96,186.39,0,10.74,0,0,12.53,22.53,1.62,0,0,0,0,15.82,9.16,0
