stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.82,10.08,0,249.66,0,0,1.86,1.54,0,0,0,0,0,0,1.46,0,0.94,907.94,0,0,0,0,0,4.04,0,0.83,7.13,0,0,0
 24-34,0,2.03,0,650.08,0,0,8.25,0,0,0.75,0,0,7.97,0,4.48,0,1.63,852.91,0.7,0.77,0,1,6.74,0,0,0,11.47,0,0,0
 36-46,0,11.1,0,986.12,0,0,50.75,0,0,0,0,0,0,0,2.54,0,0,923.15,0,2.29,0,0,8.84,0,0,0,2.3,0,15.09,3.36
 48-58,0,3.07,0,643.11,0,2.41,52.19,0,0,1.54,0,0,0,0.78,1.65,0,0.57,495.75,0,0.84,0,0,0.56,0,0,0,24.5,0,0,0
 60-70,0,2.24,0,1469.39,0,0,49.45,0,13.7,0,0,0,0,0,8.18,0,0,608.54,5.27,0,0,0,3.45,0,0,0,16.51,0,2.98,0
 72-82,0,4.89,3.97,852.03,0,0,43.43,1.18,0,0,0.57,0,0,0,11.79,0,0,283.45,0,0,0.97,1.13,0,0,0,0,1.22,0,0,0
 84-94,0,0.86,0,671.58,0.68,0,44.25,0,0,0,0,0,0,0,14.23,0.58,0,224.72,0,0,0,0,2.8,0,1.47,0,13.41,0.98,0,0
 96-106,0,0.61,0,491.24,0,0,60.56,0,1.21,0,0,0.71,0,0,2.97,0,0,133.59,0,1.44,0.56,0,0,0,0,0,2.92,0,0,0
108-118,0,1.53,0,465.31,0,0.43,62.07,0,0,0,0,0,0,0,1.8,0,0,207.84,0,0,0,0,0,0,0,0,0,0,0,0
120,0,3.81,0,425.4,0,0,50.61,0,0,0,0,2.07,0,0,2.33,0,2.35,287.08,0,0,0,0,0,0,0,0,0,0,0,0
