stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.51,99.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.77,0,0,0,0,0,0,0,0,0,0
  5-6,0,156.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,0,0,0,23.72,0,178.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.7,0,0,0,21.67,0,67.66,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.31,30.23,1.24,0,0.82,0,1.95,0,0,1.87,0,0,0,0.92,0,3.32,0,4.74,1.16,0,0,27.95,0,5.23,0,0,0,452.62,1.52,104.4,0,2.47,5.4,0,0,0,0,0
 24-34,0,0,1.1,5.51,116.59,0,0,4.62,0,44.27,0,0.89,11.46,6.16,0,0,5.08,0,0,3.7,15.93,10.46,0,3.76,121.41,1.69,0.96,0.74,0,0,1188.59,0,199.03,0,0,20.72,0,0,4.8,0,0
 36-46,0,0,0,0,64.03,0,0,11,0,78.79,0,2.23,7.29,0,1.64,0,0,0,0.67,0.91,8.56,11.85,0,0,85.14,0,1.02,0,0,0,1261.37,0,72.43,0,0,20.35,0,0,0,0,0
 48-58,0,0,0,0,127.85,0.43,0,40.47,0,105.11,0,4.71,2.4,0.37,0,0,14.68,0,0,10.29,5.56,14.91,0,0,77.13,0,0,0,0,0,786.12,0,43.75,0,0,19.35,0,0,0.91,0,0.85
 60-70,0,0,0,0,206.04,0,0,39.08,0,103.17,2.05,3.47,12.96,0,0,0,5.32,0,1.18,0,6.94,18.98,0.63,0,63.88,0,0,0.91,0,0,692.41,0,28.41,0,0,13.66,0,0,0,0,0
 72-82,0,0,0,0,245.24,0,0,23.49,0,84.03,0,8.55,39.31,0,0,0.55,5.78,4.16,0,0,2.92,49.23,0,0.94,84.41,0,2.68,0,0,0,543.36,0,16.35,2.68,0,4.59,3.99,0,0,0,4.85
 84-94,0.62,0,0,2.94,604.42,1.26,0,43.8,0,172.04,0,3.36,129.12,0,1.66,2.13,38.87,1.43,1.72,0,14.37,101.98,0,3.41,41.4,0,0,2.91,0,0,1515.57,0,92.27,0,0,3.71,25.86,0.71,1.88,0,17.15
 96-106,0,0,0,12.3,787.03,4.93,1,65.72,2.05,162.77,0,15.06,199.89,0,0,0,38.1,2.78,6.44,0,27.04,82.39,0,0,95.16,0,7.68,0.85,0,0,1345.57,0,58.6,0,0,3.18,29.2,0,10.78,0,8.68
108-118,0,0,0.76,14.18,878.3,0,0.68,28.64,0,226.38,0.8,15.94,252.6,0,0,0,44.5,3.34,12.29,0,11.11,72.06,0,2.94,58.42,0.5,0.75,1.64,0,7.71,1165.41,0,63.96,0,0,9.59,43.07,1.77,0,2.37,0
120,0,0,0,3.57,586.68,0,0,11.57,0,141.08,0,10.97,62.26,0,4.83,0,25.1,0,12.94,0,4.93,35.84,0,1.04,95.17,0,0,6.92,0,0,714.08,0,27.75,0,0,0,18.92,0,0,0,0
