stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,liver,mesenchyme,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,30.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,119.08,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0
  7-9,0,0,0,0,18.46,0,0,4.21,0,0,117.33,29.5,0,0,0
 10-12,0,5.22,0,0,9.99,0,0,0,0,0,116.95,45.76,0,15.42,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.74,0,0.98,0,1.27
 24-34,0,0,0,0,1.93,0,0,0,0,0.89,10.26,0,0,1,0
 36-46,0,0,0,0,2.03,0,0,0,0,0,1.27,0,0,0,3.12
 48-58,0,0,0,0,0,2.79,3.48,0,0,1.72,10.26,0,0,0,0
 60-70,0,0,0,0,1.54,0,0.86,0,1.05,0,1.25,0,0,0,0
 72-82,0,0,0,2.44,0.54,0,0,0,0,1.74,0,0,0,0,0
 84-94,0,0,6.63,0,0,0,0,0,0,3.14,8.33,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.54,4.26,0,0,0,1.8
