stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,27.42,616.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29,0,0,0,0,0,0,0
  5-6,0,603.24,0,0,0,0,0,0,0,0,29.12,0,0,0,0,0,0,0,0,0,0,20.15,38.08,0,0,6.69,9.1,0,0,0,0,0,0,0
  7-9,17.06,5.67,16.14,0,0,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.57,0,0,0,137.78,0,0,0,0,0,0,0,0
 10-12,0,0,35.23,0,0,41.59,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,334.79,0,0,0,82.83,0,0,24.5,0,0,0,0,0
 14-21,0,0,0,6.11,0,2.46,0,0,0,0,0,0,0,0,0,0.93,0,3.56,0,0,1.72,64.95,1.24,0,0,0.89,0,1.05,0,8.27,14,0,1.02,0
 24-34,0,0,0,2.58,0,13.27,0,0,2.39,0.67,0,0,0,0.64,0,0.77,0,11.3,0,0,8.11,97.75,0,0.72,1.69,0,1.68,0,0,0.67,20.27,0,6.39,0
 36-46,0,0,0,0,0,11.53,0,0,1.29,0,0,0,0,0,0,0,0,7.3,0,0,3.25,94.93,0,0,1.5,0,2.58,0,0,0,26.19,0,0,0
 48-58,0.58,0,0,11.53,0,12.26,0,0,4.26,0,0,0.55,0,0,0,0,0.6,10.12,0,0,0,62.12,0,0,0,0,0.45,0,0,0,6.95,0,0.44,0
 60-70,0,0,0,2.38,0,27.79,0,0,19.57,0,0,0,0.78,0.56,2.09,0,0,7.76,0,0,1.49,61.87,0,4.93,0,0,0.68,0,0,0,13.45,0,0,0.97
 72-82,0,0,0,0,0.61,17.43,2.88,0.64,5.45,0,0,0,0,0,0,0,0,12.12,0,0,0.66,50.04,0.53,0,0,0,0,0,0,0,8.05,1.01,0,0
 84-94,0,0,0,0,0,10.72,0,4.01,7.92,0,0,0,0,0,0,0,0,4.5,0,0.71,0.7,28.58,0.65,0,0,0,1.38,0,0,0,1.73,0,1.61,0
 96-106,0,0,0,0.91,0,6.05,0,0,3.6,0,0,1.68,1.51,0.8,0.89,0,0,6.56,0,0,0,15.2,0,0,1.77,0,1.66,0,0,0,0,0,4.45,0
108-118,0,0,0,2.72,0,14.27,0,0.43,3.11,0.61,0,0,1.28,0.5,0,0,0,7.06,0,0,5.02,29.99,0,0,1.68,0,1.14,0,0,0,2.05,5.48,0,0
120,1.12,0,0,0,0,7.59,0,0,11.19,0,0,0,0,0,0,0,0,10.77,1.63,0,4.08,50.03,0,1.15,0,0,0,0,0,0,8.98,0,0,0
