stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.4,0,0,0,0,0,1.58,0,0,1.39,0,0,0,0,0
 24-34,0,0,0,1.27,0,0,3.86,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0.73,90.2,0,0,0,0,0,0,1.6,0,5.96,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,36.92,0,0.65,0,0,0,0,0,0,0,0,0.96,0,0.89,0,326.94,0,3.32,0,0,0,0,0.59,0,11.19,0,0,0.78,0,0
 48-58,0,0,0,2.1,0,0,189.85,0,0,13.81,0,0,0.77,17.96,0.41,0,0,1.82,0.39,1.21,5.82,410.05,0,2.08,0.46,0,9.77,0,0.74,0,16.46,0,0,0,0,5.52
 60-70,0,0,0.91,0,3.08,0,552.68,0,0,5.05,0,0,0,0,0,0,0,0.85,0,0,0.93,426.19,0,2.85,0,0,0,0,0,3.87,9.79,0,0,0,0,0
 72-82,0,0,0,1.35,0,0,589.1,1.5,2.62,11.67,0,4.57,0.63,0,0,0,0,19.31,0,0,1.24,559.95,0,3.37,0,0,0,0,0,0,10.49,0,0,0,0,3.41
 84-94,0,0,0,5.17,0,0,429.7,0,0,21.94,0.76,0,0.6,2.58,0,0,1.92,14.6,0,0,4.94,297.17,0,0,0.63,0,2.66,0,0,0,1.92,0,3.29,0,0.64,0
 96-106,0,0,0,7.89,4.43,0,471.2,0,0,4.48,1.04,0,0,0,0,0,0,20.86,0,0,0.8,160.27,0,0.57,0,0,1.31,0,0,0,0,0.59,0,0,0,0
108-118,0,0,0,0.58,3.74,0.5,624.62,0,0,17,0,0.43,0,0,0,6.22,0,22.62,0,0,0.9,199.05,0.48,0.84,0.44,0,1.19,0,1.1,0,9.16,0.51,2.35,1.73,0,0
120,0,0,0,5.18,1.34,0,595.47,0,0,26.24,6.94,2.25,0,0,0,0,0,9.27,0,0,16.13,456.29,1.33,3.57,1.5,0,2.18,0,0,0,0,0,0,0,0,0
