stage,epidermis,eye,fin_epithelia,glial,gut,iridophores,lateral_line,mesenchyme,neural,otic,periderm,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.81,0.86
 24-34,0,0,0,0.89,0,0,0,0.82,0.76,0,0,0,0
 36-46,0,4.24,0,0,0,0,0,0,2.38,0,0,0,0
 48-58,0,5.98,0,0,0,0,0,0,4.24,0,0,0,2.7
 60-70,0,14.58,0,0,0,3.59,0,0,10.62,0,0,0,0
 72-82,0.52,1.55,0,0,0,0,0,0,8.29,0,0,0,0
 84-94,0,0,0,0,0,0,0.58,0,3.69,0,1.58,0,0.65
 96-106,0,0,0.68,0,0,0,1.19,0,7.36,0.85,0,0,2.02
108-118,0,0,1.05,0,0,1.36,0,0,1.73,0,1.42,0,0
120,0,0,0,3.21,1.52,0,0,0,0,0,0,0,0
