stage,epidermis,eye,fast_muscle,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.08,0,0,2.52,0,0,4.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.24,0,0,1.78,0
 48-58,0,2.03,0,0,0,0,0,0.45,0,0.53,4.55,0,0,0,0
 60-70,0,12.85,0,0,0,0,0,0,0,0,8.67,0,0,0.87,0
 72-82,0,1.54,3.34,2.21,0,1.5,0,1.03,0.57,0,11.45,0,0,0,1.34
 84-94,1.55,8.49,0,0,0,0,0.79,0,0,0,1.72,0,0,6.47,0
 96-106,0,4.2,0,0,0.67,0,0,0,0,0,0.62,0,1.32,0,0
108-118,0,0.58,0,0,0,0,0,0,0,0,1.23,0.97,0,0,0
120,0,0,0,3.07,0,0,0,0,0,0,2.37,0,0,0,0
