stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
  5-6,6.89,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25
 24-34,0,0,0,0,0,0,0.77,0,0,0,0,0,23.56,1.06,0,0,9.2
 36-46,0,0,0,0,0,0.74,0,0,0,0,0,0,69.2,0.6,0,0,9.25
 48-58,0,0,0,0.44,0,6.14,0,2.44,0,0,0,0.65,67.7,0.86,0,0,15.86
 60-70,0,0,0.86,0,0,24.9,0.74,1.47,0,0,1.39,5.95,130.24,0,0,0,15.05
 72-82,0,0,0,1.71,0,40.62,1.35,0.76,0,0,0,0.75,88.55,1.5,0,0,5.18
 84-94,0,0,0,0,1.23,34.51,2.1,3.29,0,0,0,1.82,83.38,0,0,0,1.41
 96-106,0,0,0,0,0,15.83,0.59,0.96,0,0,0,0,72.28,0,1.8,0,1.23
108-118,0,0,0,0,0.85,13.19,0,2.64,0.69,0.65,4.76,0,84.65,1.21,0,0.69,0
120,0,0,0,1.96,0,0,6.32,10.04,0,0,0,11.71,109.18,0,0,0,11.34
