stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,55.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.48,79.06,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0
  7-9,0,0,53.57,0,0,0,0,0,4.94,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.98,147.14,0,0,0,0,0,0,0,0,453.11,0,2.36,0,0,0,0,0,0,0
 24-34,0,0,0,0.81,0,337.29,0,0,0,0,0,0.93,0,0,557.83,0,0,1.01,1.3,12.51,0,10.59,0,0
 36-46,0,0,0,0,0,143.43,0,2.61,0,0,0,3.36,0,0,1250.68,0,0,0,0,4.57,0,0,0,1.52
 48-58,0,0,0,9.61,0,170.52,0,13.65,0,0,0,2.38,0,0,1576.3,0,0.41,0,0,37.24,0,2.78,0,3.44
 60-70,0,0,0,19.3,0,101.02,0,18.49,0,0,0,0,0,0,1474.6,0,0,0,0,1.71,0,0,0,0
 72-82,0,0,0,0.52,0,156.62,0,40,0,0,0,5.53,0,0,1506.51,0,3.58,3.28,0,3.46,0,3.98,0.51,3.39
 84-94,0,0,0,16.63,0,187,0,31.95,0,0,3.81,20.31,0,0,973.84,0.78,0,0,0,6.97,0.81,0,0,0
 96-106,0,0,0,15.26,0,127.88,2.27,26.98,0,0,0,13.98,0,0.94,870.91,0,10.64,0,0,4.17,0,0,0,0
108-118,0,0,0,18.36,0,132.38,1.06,80.51,0,0,0,4.9,4.08,0,1354.77,0,3.77,0,0,0,0,1.72,0,0
120,0,0,0,1.09,0,138.23,0,128.45,0,7.21,0,20.96,0,0,1632.56,14.75,3.09,0,0,0,0,0,0,0
