stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,4.49,0,0,0,0,0,0,9.42,0,0,3.2,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,28.58,0,0,4.21,0,0,0,0
 14-21,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04
 24-34,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0
 36-46,0,4.61,0,0,0,0,0,0,0,1.12,0,0,0,0,0.87,0,1.37
 48-58,0,5.97,0,0,1.19,0,0,0,0.48,1.11,2.6,0,0,0.57,0,0,0
 60-70,0,6.9,0,1.33,1.6,0,0,0,0,2.54,0,0.83,0,0.72,3.88,0,0
 72-82,0,1.24,1.34,0,0,0,0,4.15,2.56,10.98,0,0,0,1.4,1.71,0,3.72
 84-94,1.05,8.52,0,0,0,0,0,0,0,15.53,1.32,0,0,1.58,0,1.14,0
 96-106,0,12.97,2.87,0.58,0,0.93,0.72,0,0,0.91,1.21,0,0,12.94,0,1.05,0
108-118,0,16.15,0,1.98,1.35,1.91,2.5,2.74,3.71,2.59,0,0,0,13.97,0,8.13,0.61
120,0,40.35,0,1.12,0,0,0,0,0,1.47,1.48,0,0,4.77,0,4.79,15.31
