stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,126.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,124.83,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.23,0,0,45.28,0,0,0,0,3.56,0,0,0,0,0,0,0,76.37,0,0,0,21.56,0,0,0,0,0,0,0
 10-12,22.61,27.25,0,0,644.16,0,0,0,0,6.52,0,0,0,0,0,0,0,2560.52,4.42,0,0,40.24,0,0,3.69,0,0,0,0
 14-21,0,1.43,7.35,0.92,15.64,0,0,0,528.89,0,0,0,0,0,0,0,0.88,2229.42,1.03,0,0,0,0.83,11.58,2.83,3.05,2130.61,1.17,0
 24-34,0,0,8.68,0,33.78,0,0,0.83,572.82,3.64,0,1.32,11.23,0,0,6.85,11.46,2016.39,0.93,2.04,1.42,0,1.96,0,0,0,1888.86,1,0
 36-46,0,0,0.92,0,11.63,0,0,0,530.82,0,0,0,0,0,6.13,3.04,2.94,1359.61,0.65,1.08,5.34,0,0,0,0.81,0,1756,0,0
 48-58,0,0,10.4,0,24.91,0.59,2.94,0.61,446.37,0,0,0,2.58,0.43,0,3.93,0.55,626.97,0,0,0,0,4.05,0,0,0,825.23,0,11.43
 60-70,0,0,0,0,2.25,0,0,0,430.52,0,1.84,0,0,0,0,4.1,1.26,259.18,0,0,0,0,0,0,0,0,100.03,0,0
 72-82,0,0,0.71,3.71,20.19,0,0,0,334.16,0,0,0,0,0,6.19,6.41,0,219.28,0,0,0,0,0,0,0,0,55.01,1.08,0
 84-94,0,0,0.62,0,17.31,0,0,0,241.36,0,0,0,0,0,0,0,0,195.41,0,0,0,0,0,0,0,0,54.63,0,0
 96-106,0,0,0.67,2,16.8,0,0,0,272.99,0,0,0,0,0.93,0,1.53,1.63,116.61,2.06,0,0,0,0,0,0,0,33.25,0,1.22
108-118,0,0,0,0.42,11.53,0,0,0,236.47,0,0.54,0,0,0,0,1.05,0,212.71,0,0,0,0,0,0,0,0,25.98,1.59,0
120,0,0,5.78,0,13.19,0,0,0,142.96,0,0,0,0,0,0,1.76,0,169.16,0,0,0,0,2.64,0,0,0,19.1,0,0
