stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,636.87,129.84,2.27,0,137.14,0,0,0,1.9,4.19,2.24,0,3.18,0,1.11,0,14.83,0,16.47,0,0,5.84,2570.33,1.48,3.36,25.68,3.9,0,6.12,11.47,1.79,0,5.39,1494.64,0,0,5.62,0,0
 24-34,0,3.6,105.01,74.69,8.94,0,2015.67,0,0.78,0,19.2,1.58,0,0.68,6.57,4.19,0,1.82,70.74,1.64,74.03,0,0,35.73,30254.75,4.37,9.19,79.41,0,0,42.18,0,5.26,2.85,8.98,8655.09,0,0,19.7,0,0
 36-46,0,0,3.74,68.08,1.36,0,6234.83,1.5,4.2,3.54,96.44,9.2,0,3.43,9.31,1.25,7.22,0.76,58.44,14.54,67.49,0,9.14,23.77,39145.91,1.19,7.87,52.79,0,15.85,63.5,0,2.64,5.44,0,11721.8,0,5.7,56.27,0,22.89
 48-58,1.55,0,0,79.55,0.43,0,5396.73,0.84,38,7.95,301.97,7.14,0,1.68,8.79,10.35,12.95,1.15,65.07,18.6,170.34,1.69,10.09,40.04,21333.1,19.33,8.56,3.47,0,0,66.66,0,0.99,4.52,0,7246.31,0,0,24.06,0.9,50.2
 60-70,0,77.05,0,107.7,12.22,0,4337.92,8.27,11.74,2.81,163.94,12.82,0,0.93,6.2,4.87,0,1.33,37.81,9.3,167.35,4.77,8.64,13.64,18206.24,1.09,9.7,5.74,0,0,45.01,0,2.82,0,0,4720.84,0,5.97,14.63,0.64,49.59
 72-82,0,123.61,3.72,53.55,13.1,1.97,1779.76,0,8.34,6.64,153.37,10.32,0,1.38,6.2,5.87,3.49,0.79,33.29,7.48,83.59,2.26,7.76,14.78,8842.3,10.59,2.94,8.57,0,1.67,22.17,0,0,4.87,0,2484.2,0,5.41,14.98,1.68,29.88
 84-94,0,72.87,10.25,40.45,1.12,7.07,1370.06,1.21,4.66,1.27,86.3,30.37,1.95,6.96,3.9,3.72,13.17,8.86,38.82,1.72,100.92,7.46,10.49,29.74,5408.75,8.2,8.36,5.75,0,0,29.49,0,1.09,0,0,1439.24,0.68,5.01,7.54,1.89,6.14
 96-106,0,73.17,14.74,27.95,10.29,3.92,733.65,2.11,3.42,4.46,108.63,14.88,0,1.64,11.79,1.76,0.92,4.04,94.15,0,104.38,7.74,2.83,13.87,3555.65,1.32,2.14,1.85,0,2.01,36.47,0,0,0,0,615.83,0,3.21,4.04,3.23,4.17
108-118,0,141.72,16.87,58.54,6.3,15.1,926.99,0,5.12,0.84,164.41,17.39,0,0.61,6.33,2.83,5.78,3.52,103.53,0.54,113.44,6.66,4.59,5.38,5214.83,2.86,4.13,5.12,0,2.8,25.01,0,0,0,0,441.18,4.19,0.57,3.71,0,1.15
120,0,110.77,28.27,80.08,11.55,18.42,1765.08,1.18,5.18,21.5,321.38,52.07,0,0,6.51,4.61,0,0,187.1,0,167.89,25.68,14.04,9.27,14473.04,14.37,0,3.28,0,0,24.82,0,0,0,0,1351.28,0,3.74,18.64,2.31,2.59
