stage,axial,blastomeres,epidermis,eye,fin_epithelia,heart,ionocyte,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,12.66,195.49,0,0,0,0,0,0,0,0,0,0,0,0,484.09,0,0
  5-6,0,60.32,0,0,0,0,0,0,0,0,0,0,0,0,535.54,0,0
  7-9,0,0,0,3.21,0,0,0,0,0,0,53.45,0,0,10.48,185.85,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,52.35,0,0,18.89,52.58,9.77,0
 14-21,0,0,1.01,0,0,0,0,0.88,0,0,0,0,0,0,35.39,0,3.48
 24-34,0,0,0.59,0,1.06,1.01,0.77,0.93,0,0,7.75,0,0,0,47.99,0,2.79
 36-46,0,0,0,0.73,0,0,0,0,0,0,13.53,0,0.84,0,22.68,0,0.78
 48-58,0,0,0,2.94,0,0,0,1.27,0,0,6.33,0.44,0,0,10.77,0,0
 60-70,0,0,4.42,8.25,0,0,0,1.75,1.27,0,1.63,0,0,0,19.51,0,0
 72-82,0,0,1.71,4.97,0,0,0,0,3.73,0,2.28,0,0,0,21.31,0,0
 84-94,0,0,0,4.32,0,0,1.65,0,0.86,1.17,0.86,0.66,0,0,49.78,0,0
 96-106,0,0,13.17,0,0,0,0.8,0,1.27,0,0.58,0,0,0,33.89,0,3.09
108-118,0,0,10.58,6.26,0.45,0,0,0,1.25,0,7.09,2.71,0,0,26.77,0,0
120,0,0,15.31,0,0,0,0,0,0,0,0,1.48,0,0,35.69,0,0
