stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.31,0,25.94,4.72,0,7.87,0,0,0,6.07,0,0,0,0,0,0,0,8.42,0,11.93,0,0,3.93,90.5,0,1,6.01,7.86,0,4.26,20.61,2.7,0.86,10.24,31.82,0,0,0,0,0
 24-34,0,0,5.64,0,0,9.59,0,0,0,4.36,1.32,0,0,3.98,0.65,0,0,0,0,21.13,0,0,4.12,89.08,0.7,0,3.66,0,0,7.15,0,0,0,4.3,25.12,0,0,6.59,0,0
 36-46,0,0,2.15,0,0,18.6,9.95,5.07,0,8.03,0,0,0,0,0,0,0,0,0,16.21,3.23,0,7.67,74.39,0.84,1.79,0,0,0,8.48,0,11.39,0,0,12.69,0,0,2.32,0,3.72
 48-58,0,0,0,1.7,0,19.28,0,0.4,0,9.34,0.38,0.7,0.42,0,0,3.97,0,2.16,0,4.94,0.82,0,3.34,77.44,0,0.87,0.41,0,0,13.59,0,0,2.4,0,11.65,0,0,1.2,0,2.44
 60-70,0,0,8.98,0,0,15.56,3.7,2.36,0.63,15.51,1.6,0,0,7.02,10.22,0,0,0,0,14.86,0,0,2.89,45.14,0,1.43,4.95,0,0,24.32,0,7.95,0,0,6.87,0,0,2.54,0,2.89
 72-82,0,0.98,2.96,2,0,22.65,0,0,0.59,21.98,0,0,0,0.56,1.23,0.62,0,0,0,35.16,0,0,4.15,40.71,0,1.09,2.08,0,0.84,16.58,0,0.65,0,0,8.89,0.94,0.9,0,1.37,0
 84-94,0,0,11.58,0,0,21.76,0,0.62,0,8.2,1.57,0,0,1.02,0,1.06,0,0.6,4.37,39.46,0,0.92,6.28,15.85,0,4.79,2.38,0,5.27,13.63,0,0.7,0,0,3.68,0,0,2.91,0,0
 96-106,0,0,4.14,0,0,7.55,0,11.4,2.19,3.89,1.28,0,0.72,2.85,0,0,3.22,0,0,22.99,0,0,2.85,24.61,0,1.74,4.89,0,0,22.13,0,0,0,0,3.9,0,0,0.59,0,0
108-118,0,0,5.88,0,0.55,16.9,0,0.63,2.42,12.66,0,0,0,1.12,0.44,0,2.98,0.82,0,20.69,0,0,4.01,48.38,0,0.98,5.41,0,0,10.05,0,0.94,0,0,2.78,0,0.67,1,0,0
120,0,1.37,10.78,0,0,19.07,1.43,0,2.12,0,3.62,0,0,10.74,0,0,0,0,0,26.47,0,0,1.56,68.99,0,0,4.76,0,0,18.16,0,0,0,0,0,0,0,0,18.94,0
