stage,blastomeres,epidermis,eye,fast_muscle,gut,liver,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,visceral_smooth_muscle
  3-4,40.24,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0
  5-6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.42,0,0.6,0,0,0,0,0.67,0,0
 36-46,0,0,0,1.98,0,0,0,0,11.71,0.75,0,0,5.33,0,0
 48-58,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0.8,0
 60-70,0,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0
 72-82,0,0,2.16,0,0,0,0,0,0,0,0,0,0.57,3.34,0
 84-94,0,0,5.42,0,0.57,0,4.61,0,0,0,0,0,0,0,0
 96-106,0,1.7,10.1,1.43,0,0,1.32,0,0.58,2.18,10.66,0,0,0,1.93
108-118,0,0,0,0.91,0.65,0,0,1.83,9.53,0,0,0,0,0,0
120,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0
